feature,feature_kind,pc,correlation,abs_correlation,n_valid
land_sea_mask,era5_static,1,-0.7561504600917972,0.7561504600917972,59517786
temperature_lev11,era5_time_series,3,-0.5862724842730977,0.5862724842730977,59517786
temperature_lev18,era5_time_series,3,0.5853955649969809,0.5853955649969809,59517786
temperature_lev10,era5_time_series,3,-0.5853504996233353,0.5853504996233353,59517786
temperature_lev19,era5_time_series,3,0.5839364668063931,0.5839364668063931,59517786
temperature_lev20,era5_time_series,3,0.5756563568940977,0.5756563568940977,59517786
temperature_lev30,era5_time_series,3,0.5711474052760797,0.5711474052760797,59517786
temperature_lev29,era5_time_series,3,0.5708793728136624,0.5708793728136624,59517786
temperature_lev17,era5_time_series,3,0.5671069623802063,0.5671069623802063,59517786
temperature_lev28,era5_time_series,3,0.5670733352665963,0.5670733352665963,59517786
temperature_lev31,era5_time_series,3,0.5653716200908425,0.5653716200908425,59517786
temperature_lev21,era5_time_series,3,0.56492271727099,0.56492271727099,59517786
temperature_lev27,era5_time_series,3,0.5626316093013228,0.5626316093013228,59517786
specific_humidity_lev35,era5_time_series,1,0.5624282275460677,0.5624282275460677,59517786
specific_humidity_lev34,era5_time_series,1,0.5604397260717167,0.5604397260717167,59517786
temperature_lev26,era5_time_series,3,0.5583731049355948,0.5583731049355948,59517786
temperature_lev22,era5_time_series,3,0.5555640322890557,0.5555640322890557,59517786
specific_humidity_lev36,era5_time_series,1,0.5552884358450666,0.5552884358450666,59517786
temperature_lev32,era5_time_series,3,0.5541107391445176,0.5541107391445176,59517786
temperature_lev25,era5_time_series,3,0.5511775027292714,0.5511775027292714,59517786
temperature_lev23,era5_time_series,3,0.5495495682572727,0.5495495682572727,59517786
temperature_lev24,era5_time_series,3,0.5479790884681572,0.5479790884681572,59517786
geopotential_lev16,era5_time_series,3,0.5475859870574027,0.5475859870574027,59517786
geopotential_lev15,era5_time_series,3,0.5467854429191643,0.5467854429191643,59517786
geopotential_lev17,era5_time_series,3,0.5432865899621808,0.5432865899621808,59517786
geopotential_lev14,era5_time_series,3,0.5423316043899766,0.5423316043899766,59517786
temperature_lev12,era5_time_series,3,-0.5410919290958839,0.5410919290958839,59517786
temperature_lev33,era5_time_series,3,0.5387781380734048,0.5387781380734048,59517786
specific_humidity_lev26,era5_time_series,2,-0.5384293704343442,0.5384293704343442,59517786
geopotential_lev18,era5_time_series,3,0.5355099168142364,0.5355099168142364,59517786
specific_humidity_lev33,era5_time_series,1,0.5340169968436291,0.5340169968436291,59517786
geopotential_lev13,era5_time_series,3,0.5324725890187167,0.5324725890187167,59517786
specific_humidity_lev27,era5_time_series,2,-0.5284221512888057,0.5284221512888057,59517786
specific_humidity_lev25,era5_time_series,2,-0.5267510451376516,0.5267510451376516,59517786
geopotential_lev19,era5_time_series,3,0.5263546779790111,0.5263546779790111,59517786
temperature_lev34,era5_time_series,3,0.5199363228557115,0.5199363228557115,59517786
specific_humidity_lev12,era5_time_series,3,0.5185551637713371,0.5185551637713371,59517786
geopotential_lev20,era5_time_series,3,0.5166632888495095,0.5166632888495095,59517786
geopotential_lev12,era5_time_series,3,0.5146724737942544,0.5146724737942544,59517786
geopotential_lev21,era5_time_series,3,0.5067874934488541,0.5067874934488541,59517786
temperature_lev09,era5_time_series,3,-0.5054797691296794,0.5054797691296794,59517786
specific_humidity_lev24,era5_time_series,2,-0.5052029378338588,0.5052029378338588,59517786
specific_humidity_lev32,era5_time_series,1,0.5035449045595082,0.5035449045595082,59517786
specific_humidity_lev28,era5_time_series,2,-0.5026693899037464,0.5026693899037464,59517786
temperature_lev35,era5_time_series,3,0.5026049981533726,0.5026049981533726,59517786
geopotential_lev22,era5_time_series,3,0.49651435754926304,0.49651435754926304,59517786
temperature_lev36,era5_time_series,3,0.4937122332222154,0.4937122332222154,59517786
specific_humidity_lev23,era5_time_series,2,-0.4933436801054197,0.4933436801054197,59517786
specific_humidity_lev13,era5_time_series,3,0.487947736158138,0.487947736158138,59517786
geopotential_lev23,era5_time_series,3,0.4850914610922243,0.4850914610922243,59517786
specific_humidity_lev22,era5_time_series,2,-0.4849650243430128,0.4849650243430128,59517786
geopotential_lev11,era5_time_series,3,0.4842445911157328,0.4842445911157328,59517786
geopotential_at_surface,era5_static,1,-0.47774494766454867,0.47774494766454867,59517786
specific_humidity_lev31,era5_time_series,1,0.47422542754991576,0.47422542754991576,59517786
geopotential_lev24,era5_time_series,3,0.4710550869488659,0.4710550869488659,59517786
specific_humidity_lev21,era5_time_series,2,-0.4665248298311272,0.4665248298311272,59517786
specific_humidity_lev11,era5_time_series,3,0.460900041887518,0.460900041887518,59517786
temperature_lev16,era5_time_series,3,0.45978553667342326,0.45978553667342326,59517786
u_component_of_wind_lev06,era5_time_series,3,-0.45904520515012043,0.45904520515012043,59517786
context__latitude_sin,context,5,0.4578980424305484,0.4578980424305484,59517786
v_component_of_wind_lev36,era5_time_series,10,-0.45652992358849376,0.45652992358849376,59517786
10m_v_component_of_wind,era5_time_series,10,-0.4553176757457361,0.4553176757457361,59517786
specific_humidity_lev14,era5_time_series,3,0.45415158558373253,0.45415158558373253,59517786
v_component_of_wind_lev35,era5_time_series,10,-0.4537447265197082,0.4537447265197082,59517786
geopotential_lev25,era5_time_series,3,0.45246071201933713,0.45246071201933713,59517786
specific_humidity_lev29,era5_time_series,2,-0.4507789455921769,0.4507789455921769,59517786
2m_temperature,era5_time_series,1,0.4496062632649271,0.4496062632649271,59517786
context__latitude,context,5,0.4490858803307596,0.4490858803307596,59517786
v_component_of_wind_lev34,era5_time_series,10,-0.4446618690798502,0.4446618690798502,59517786
u_component_of_wind_lev09,era5_time_series,3,-0.4416807857034171,0.4416807857034171,59517786
specific_humidity_lev30,era5_time_series,1,0.4400581999047931,0.4400581999047931,59517786
specific_humidity_lev20,era5_time_series,2,-0.4387181091602405,0.4387181091602405,59517786
geopotential_lev10,era5_time_series,3,0.43015594237117993,0.43015594237117993,59517786
u_component_of_wind_lev07,era5_time_series,3,-0.42828659150013143,0.42828659150013143,59517786
geopotential_lev26,era5_time_series,3,0.4270057831962384,0.4270057831962384,59517786
v_component_of_wind_lev33,era5_time_series,10,-0.4257361593104621,0.4257361593104621,59517786
u_component_of_wind_lev10,era5_time_series,3,-0.42391597396598185,0.42391597396598185,59517786
specific_humidity_lev15,era5_time_series,3,0.4234680991136286,0.4234680991136286,59517786
u_component_of_wind_lev05,era5_time_series,3,-0.42276008734628184,0.42276008734628184,59517786
specific_humidity_lev03,era5_time_series,3,-0.4118734219299369,0.4118734219299369,59517786
geopotential_lev27,era5_time_series,3,0.41084609781915393,0.41084609781915393,59517786
specific_humidity_lev19,era5_time_series,2,-0.40800079766393327,0.40800079766393327,59517786
specific_humidity_lev02,era5_time_series,3,-0.4077516040397364,0.4077516040397364,59517786
specific_humidity_lev01,era5_time_series,3,-0.4033179531700426,0.4033179531700426,59517786
v_component_of_wind_lev32,era5_time_series,10,-0.4025184509972972,0.4025184509972972,59517786
specific_humidity_lev04,era5_time_series,3,-0.4023599642332589,0.4023599642332589,59517786
u_component_of_wind_lev33,era5_time_series,10,0.39921109548635875,0.39921109548635875,59517786
u_component_of_wind_lev32,era5_time_series,10,0.3978877196131289,0.3978877196131289,59517786
u_component_of_wind_lev34,era5_time_series,10,0.3953878840837077,0.3953878840837077,59517786
u_component_of_wind_lev31,era5_time_series,10,0.3933194207930231,0.3933194207930231,59517786
geopotential_lev28,era5_time_series,3,0.3917665803469559,0.3917665803469559,59517786
specific_humidity_lev16,era5_time_series,3,0.39098280109758615,0.39098280109758615,59517786
u_component_of_wind_lev23,era5_time_series,3,-0.39052898459543794,0.39052898459543794,59517786
