feature,label,category,score
geopotential_at_surface,Surface geopotential,Static/context,0.47774495
position_context,Position context,Static/context,0.45789804
land_sea_mask,Land-sea mask,Static/context,0.75615046
local_time_context,Local time context,Static/context,0.19791417
year_progress_context,Year progress context,Static/context,0.1202982
2m_temperature,2m temperature,Surface/single-level,0.44960626
10m_u_component_of_wind,10m U wind,Surface/single-level,0.36651421
10m_v_component_of_wind,10m V wind,Surface/single-level,0.45531768
mean_sea_level_pressure,Mean sea-level pressure,Surface/single-level,0.31508883
total_precipitation_6hr,Total precipitation 6h,Surface/single-level,0.28482531
toa_incident_solar_radiation,TOA solar radiation,Surface/single-level,0.12279867
geopotential_lev08,Geopotential 50 hPa,Geopotential,0.26660487
geopotential_lev10,Geopotential 100 hPa,Geopotential,0.43015594
geopotential_lev12,Geopotential 150 hPa,Geopotential,0.51467247
geopotential_lev14,Geopotential 200 hPa,Geopotential,0.5423316
geopotential_lev16,Geopotential 250 hPa,Geopotential,0.54758599
geopotential_lev17,Geopotential 300 hPa,Geopotential,0.54328659
geopotential_lev19,Geopotential 400 hPa,Geopotential,0.52635468
geopotential_lev21,Geopotential 500 hPa,Geopotential,0.50678749
geopotential_lev23,Geopotential 600 hPa,Geopotential,0.48509146
geopotential_lev25,Geopotential 700 hPa,Geopotential,0.45246071
geopotential_lev30,Geopotential 850 hPa,Geopotential,0.34289234
geopotential_lev33,Geopotential 925 hPa,Geopotential,0.3220809
geopotential_lev36,Geopotential 1000 hPa,Geopotential,0.31858227
temperature_lev08,Temperature 50 hPa,Temperature,0.35385662
temperature_lev10,Temperature 100 hPa,Temperature,0.5853505
temperature_lev12,Temperature 150 hPa,Temperature,0.54109193
temperature_lev14,Temperature 200 hPa,Temperature,0.14503217
temperature_lev16,Temperature 250 hPa,Temperature,0.45978554
temperature_lev17,Temperature 300 hPa,Temperature,0.56710696
temperature_lev19,Temperature 400 hPa,Temperature,0.58393647
temperature_lev21,Temperature 500 hPa,Temperature,0.56492272
temperature_lev23,Temperature 600 hPa,Temperature,0.54954957
temperature_lev25,Temperature 700 hPa,Temperature,0.5511775
temperature_lev30,Temperature 850 hPa,Temperature,0.57114741
temperature_lev33,Temperature 925 hPa,Temperature,0.53877814
temperature_lev36,Temperature 1000 hPa,Temperature,0.49371223
specific_humidity_lev08,Specific humidity 50 hPa,Specific humidity,0.22312871
specific_humidity_lev10,Specific humidity 100 hPa,Specific humidity,0.13533917
specific_humidity_lev12,Specific humidity 150 hPa,Specific humidity,0.51855516
specific_humidity_lev14,Specific humidity 200 hPa,Specific humidity,0.45415159
specific_humidity_lev16,Specific humidity 250 hPa,Specific humidity,0.3909828
specific_humidity_lev17,Specific humidity 300 hPa,Specific humidity,0.33177905
specific_humidity_lev19,Specific humidity 400 hPa,Specific humidity,0.4080008
specific_humidity_lev21,Specific humidity 500 hPa,Specific humidity,0.46652483
specific_humidity_lev23,Specific humidity 600 hPa,Specific humidity,0.49334368
specific_humidity_lev25,Specific humidity 700 hPa,Specific humidity,0.52675105
specific_humidity_lev30,Specific humidity 850 hPa,Specific humidity,0.4400582
specific_humidity_lev33,Specific humidity 925 hPa,Specific humidity,0.534017
