feature,label,category,score
geopotential_at_surface,Surface geopotential,Static/context,0.020184439
position_context,Position context,Static/context,0.020003309
land_sea_mask,Land-sea mask,Static/context,0.01624366
local_time_context,Local time context,Static/context,0.02070563
year_progress_context,Year progress context,Static/context,0.016993369
2m_temperature,2m temperature,Surface/single-level,0.021587122
10m_u_component_of_wind,10m U wind,Surface/single-level,0.020876766
10m_v_component_of_wind,10m V wind,Surface/single-level,0.019268012
mean_sea_level_pressure,Mean sea-level pressure,Surface/single-level,0.022861895
total_precipitation_6hr,Total precipitation 6h,Surface/single-level,0.018896559
toa_incident_solar_radiation,TOA solar radiation,Surface/single-level,0.022432054
geopotential_lev08,Geopotential 50 hPa,Geopotential,0.024801954
geopotential_lev10,Geopotential 100 hPa,Geopotential,0.023763467
geopotential_lev12,Geopotential 150 hPa,Geopotential,0.022979359
geopotential_lev14,Geopotential 200 hPa,Geopotential,0.022526116
geopotential_lev16,Geopotential 250 hPa,Geopotential,0.02237505
geopotential_lev17,Geopotential 300 hPa,Geopotential,0.022391343
geopotential_lev19,Geopotential 400 hPa,Geopotential,0.0225044
geopotential_lev21,Geopotential 500 hPa,Geopotential,0.022671154
geopotential_lev23,Geopotential 600 hPa,Geopotential,0.022936238
geopotential_lev25,Geopotential 700 hPa,Geopotential,0.023257499
geopotential_lev30,Geopotential 850 hPa,Geopotential,0.02373896
geopotential_lev33,Geopotential 925 hPa,Geopotential,0.023622157
geopotential_lev36,Geopotential 1000 hPa,Geopotential,0.022946473
temperature_lev08,Temperature 50 hPa,Temperature,0.02149672
temperature_lev10,Temperature 100 hPa,Temperature,0.020623807
temperature_lev12,Temperature 150 hPa,Temperature,0.020682507
temperature_lev14,Temperature 200 hPa,Temperature,0.023306162
temperature_lev16,Temperature 250 hPa,Temperature,0.02278434
temperature_lev17,Temperature 300 hPa,Temperature,0.021837729
temperature_lev19,Temperature 400 hPa,Temperature,0.021972824
temperature_lev21,Temperature 500 hPa,Temperature,0.021891309
temperature_lev23,Temperature 600 hPa,Temperature,0.021908789
temperature_lev25,Temperature 700 hPa,Temperature,0.02156861
temperature_lev30,Temperature 850 hPa,Temperature,0.021745092
temperature_lev33,Temperature 925 hPa,Temperature,0.021608818
temperature_lev36,Temperature 1000 hPa,Temperature,0.021720765
specific_humidity_lev08,Specific humidity 50 hPa,Specific humidity,0.02110144
specific_humidity_lev10,Specific humidity 100 hPa,Specific humidity,0.028457994
specific_humidity_lev12,Specific humidity 150 hPa,Specific humidity,0.022033619
specific_humidity_lev14,Specific humidity 200 hPa,Specific humidity,0.021569105
specific_humidity_lev16,Specific humidity 250 hPa,Specific humidity,0.021905528
specific_humidity_lev17,Specific humidity 300 hPa,Specific humidity,0.022194852
specific_humidity_lev19,Specific humidity 400 hPa,Specific humidity,0.021640206
specific_humidity_lev21,Specific humidity 500 hPa,Specific humidity,0.020998036
specific_humidity_lev23,Specific humidity 600 hPa,Specific humidity,0.020584626
specific_humidity_lev25,Specific humidity 700 hPa,Specific humidity,0.020235395
specific_humidity_lev30,Specific humidity 850 hPa,Specific humidity,0.021300368
specific_humidity_lev33,Specific humidity 925 hPa,Specific humidity,0.021509073
specific_humidity_lev36,Specific humidity 1000 hPa,Specific humidity,0.020930728
u_component_of_wind_lev08,U wind 50 hPa,U wind,0.025305989
u_component_of_wind_lev10,U wind 100 hPa,U wind,0.024683367
u_component_of_wind_lev12,U wind 150 hPa,U wind,0.022513733
u_component_of_wind_lev14,U wind 200 hPa,U wind,0.021769777
u_component_of_wind_lev16,U wind 250 hPa,U wind,0.021681249
u_component_of_wind_lev17,U wind 300 hPa,U wind,0.021814902
u_component_of_wind_lev19,U wind 400 hPa,U wind,0.022205242
u_component_of_wind_lev21,U wind 500 hPa,U wind,0.022009425
u_component_of_wind_lev23,U wind 600 hPa,U wind,0.021791317
u_component_of_wind_lev25,U wind 700 hPa,U wind,0.021593861
u_component_of_wind_lev30,U wind 850 hPa,U wind,0.021292611
u_component_of_wind_lev33,U wind 925 hPa,U wind,0.021045899
u_component_of_wind_lev36,U wind 1000 hPa,U wind,0.02072302
v_component_of_wind_lev08,V wind 50 hPa,V wind,0.017362176
v_component_of_wind_lev10,V wind 100 hPa,V wind,0.023070438
v_component_of_wind_lev12,V wind 150 hPa,V wind,0.02225891
v_component_of_wind_lev14,V wind 200 hPa,V wind,0.021804045
v_component_of_wind_lev16,V wind 250 hPa,V wind,0.021895058
v_component_of_wind_lev17,V wind 300 hPa,V wind,0.021807907
v_component_of_wind_lev19,V wind 400 hPa,V wind,0.021808544
v_component_of_wind_lev21,V wind 500 hPa,V wind,0.0216838
v_component_of_wind_lev23,V wind 600 hPa,V wind,0.021714615
v_component_of_wind_lev25,V wind 700 hPa,V wind,0.021692199
v_component_of_wind_lev30,V wind 850 hPa,V wind,0.020600489
v_component_of_wind_lev33,V wind 925 hPa,V wind,0.019644239
v_component_of_wind_lev36,V wind 1000 hPa,V wind,0.019051046
vertical_velocity_lev08,Vertical velocity 50 hPa,Vertical velocity,0.010213949
vertical_velocity_lev10,Vertical velocity 100 hPa,Vertical velocity,0.018738936
vertical_velocity_lev12,Vertical velocity 150 hPa,Vertical velocity,0.019402291
vertical_velocity_lev14,Vertical velocity 200 hPa,Vertical velocity,0.020576493
vertical_velocity_lev16,Vertical velocity 250 hPa,Vertical velocity,0.02079478
vertical_velocity_lev17,Vertical velocity 300 hPa,Vertical velocity,0.021029075
vertical_velocity_lev19,Vertical velocity 400 hPa,Vertical velocity,0.021873736
vertical_velocity_lev21,Vertical velocity 500 hPa,Vertical velocity,0.021533819
vertical_velocity_lev23,Vertical velocity 600 hPa,Vertical velocity,0.021061535
vertical_velocity_lev25,Vertical velocity 700 hPa,Vertical velocity,0.021202693
vertical_velocity_lev30,Vertical velocity 850 hPa,Vertical velocity,0.023285968
vertical_velocity_lev33,Vertical velocity 925 hPa,Vertical velocity,0.023604697
vertical_velocity_lev36,Vertical velocity 1000 hPa,Vertical velocity,0.023392599
