file,time,class,n_valid_pixels,n_disagree_pixels,fraction_disagree_all_pixels,n_either_positive,n_both_positive,fraction_agreement_given_positive_union,fraction_disagreement_given_positive_union
2017-01-03T16:00:00.000000000.nc,2017-01-03T16:00:00.000000000,Atmospheric River (AR),1038240,38775,0.03734685621821544,56008,17233,0.30768818740179976,0.6923118125982003
2017-01-05T20:00:00.000000000.nc,2017-01-05T20:00:00.000000000,Atmospheric River (AR),1038240,48439,0.04665491601171213,101552,53113,0.5230128407121475,0.4769871592878525
2017-01-06T08:00:00.000000000.nc,2017-01-06T08:00:00.000000000,Atmospheric River (AR),1038240,56424,0.054345815996301436,78393,21969,0.2802418583291876,0.7197581416708124
2017-01-07T05:00:00.000000000.nc,2017-01-07T05:00:00.000000000,Atmospheric River (AR),1038240,41725,0.0401882031129604,78826,37101,0.470669576028214,0.529330423971786
2017-01-07T09:00:00.000000000.nc,2017-01-07T09:00:00.000000000,Atmospheric River (AR),1038240,43561,0.04195658036677454,76442,32881,0.43014311504146935,0.5698568849585306
2017-01-12T09:00:00.000000000.nc,2017-01-12T09:00:00.000000000,Atmospheric River (AR),1038240,45191,0.04352654492217599,71087,25896,0.3642860157272075,0.6357139842727925
2017-01-18T16:00:00.000000000.nc,2017-01-18T16:00:00.000000000,Atmospheric River (AR),1038240,36097,0.03476749113885036,69808,33711,0.48291026816410726,0.5170897318358927
2017-01-22T17:00:00.000000000.nc,2017-01-22T17:00:00.000000000,Atmospheric River (AR),1038240,60105,0.057891239019879796,82332,22227,0.26996793470339603,0.730032065296604
2017-01-23T19:00:00.000000000.nc,2017-01-23T19:00:00.000000000,Atmospheric River (AR),1038240,29728,0.028633071351517953,57061,27333,0.47901368710678044,0.5209863128932195
2017-01-25T22:00:00.000000000.nc,2017-01-25T22:00:00.000000000,Atmospheric River (AR),1038240,60588,0.05835644937586685,83422,22834,0.2737167653616552,0.7262832346383448
2017-01-26T04:00:00.000000000.nc,2017-01-26T04:00:00.000000000,Atmospheric River (AR),1038240,27590,0.026573817229157037,47762,20172,0.42234412294292534,0.5776558770570747
2017-01-26T05:00:00.000000000.nc,2017-01-26T05:00:00.000000000,Atmospheric River (AR),1038240,51093,0.04921116504854369,80190,29097,0.36285072951739616,0.6371492704826038
2017-01-26T10:00:00.000000000.nc,2017-01-26T10:00:00.000000000,Atmospheric River (AR),1038240,50861,0.04898770997071968,92054,41193,0.44748734438481763,0.5525126556151824
2017-01-26T18:00:00.000000000.nc,2017-01-26T18:00:00.000000000,Atmospheric River (AR),1038240,33510,0.03227577438742487,60541,27031,0.4464908078822616,0.5535091921177384
2017-01-27T18:00:00.000000000.nc,2017-01-27T18:00:00.000000000,Atmospheric River (AR),1038240,45316,0.043646940977038064,74977,29661,0.3956013177374395,0.6043986822625605
2017-01-29T07:00:00.000000000.nc,2017-01-29T07:00:00.000000000,Atmospheric River (AR),1038240,64375,0.062003968253968256,100919,36544,0.362112188983244,0.637887811016756
2017-01-31T22:00:00.000000000.nc,2017-01-31T22:00:00.000000000,Atmospheric River (AR),1038240,18936,0.01823855755894591,37977,19041,0.501382415672644,0.49861758432735603
2017-02-03T04:00:00.000000000.nc,2017-02-03T04:00:00.000000000,Atmospheric River (AR),1038240,52185,0.05026294498381877,99844,47659,0.4773346420415849,0.5226653579584152
2017-02-06T10:00:00.000000000.nc,2017-02-06T10:00:00.000000000,Atmospheric River (AR),1038240,50477,0.04861785329018339,93597,43120,0.46069852666217936,0.5393014733378206
2017-02-06T19:00:00.000000000.nc,2017-02-06T19:00:00.000000000,Atmospheric River (AR),1038240,71417,0.06878660040067808,114027,42610,0.3736834258552799,0.6263165741447201
2017-02-16T16:00:00.000000000.nc,2017-02-16T16:00:00.000000000,Atmospheric River (AR),1038240,51729,0.049823740175681926,96837,45108,0.4658136869171907,0.5341863130828093
2017-02-16T20:00:00.000000000.nc,2017-02-16T20:00:00.000000000,Atmospheric River (AR),1038240,44422,0.04278586839266451,82276,37854,0.4600855656570567,0.5399144343429433
2017-02-18T03:00:00.000000000.nc,2017-02-18T03:00:00.000000000,Atmospheric River (AR),1038240,43779,0.042166551086454,91058,47279,0.5192185200641349,0.48078147993586506
2017-02-20T08:00:00.000000000.nc,2017-02-20T08:00:00.000000000,Atmospheric River (AR),1038240,65316,0.06291030975496995,119225,53909,0.4521618788005871,0.5478381211994129
2017-02-22T03:00:00.000000000.nc,2017-02-22T03:00:00.000000000,Atmospheric River (AR),1038240,54218,0.052221066420095545,97157,42939,0.4419547742313987,0.5580452257686014
2017-02-22T11:00:00.000000000.nc,2017-02-22T11:00:00.000000000,Atmospheric River (AR),1038240,62182,0.05989173986746802,81857,19675,0.24035818561637978,0.7596418143836202
2017-02-25T22:00:00.000000000.nc,2017-02-25T22:00:00.000000000,Atmospheric River (AR),1038240,54626,0.052614039143165356,72144,17518,0.24281991572410735,0.7571800842758927
2017-02-26T14:00:00.000000000.nc,2017-02-26T14:00:00.000000000,Atmospheric River (AR),1038240,69005,0.06646343812605948,125724,56719,0.45113900289523085,0.5488609971047692
2017-02-27T16:00:00.000000000.nc,2017-02-27T16:00:00.000000000,Atmospheric River (AR),1038240,56456,0.05437663738634613,104709,48253,0.4608295370980527,0.5391704629019473
2017-03-04T00:00:00.000000000.nc,2017-03-04T00:00:00.000000000,Atmospheric River (AR),1038240,51772,0.04986515641855448,84629,32857,0.38824752744331137,0.6117524725566886
2017-03-06T16:00:00.000000000.nc,2017-03-06T16:00:00.000000000,Atmospheric River (AR),1038240,73205,0.07050874556942519,134258,61053,0.45474385139060614,0.5452561486093939
2017-03-08T00:00:00.000000000.nc,2017-03-08T00:00:00.000000000,Atmospheric River (AR),1038240,46684,0.04496455540144861,97925,51241,0.5232678069951493,0.47673219300485065
2017-03-10T00:00:00.000000000.nc,2017-03-10T00:00:00.000000000,Atmospheric River (AR),1038240,33114,0.03189435968562182,70416,37302,0.5297375596455351,0.4702624403544649
2017-03-12T19:00:00.000000000.nc,2017-03-12T19:00:00.000000000,Atmospheric River (AR),1038240,47895,0.046130952380952384,79131,31236,0.39473783978466087,0.6052621602153391
2017-03-13T09:00:00.000000000.nc,2017-03-13T09:00:00.000000000,Atmospheric River (AR),1038240,53052,0.051098012020342115,109631,56579,0.5160857786574965,0.4839142213425035
2017-03-13T18:00:00.000000000.nc,2017-03-13T18:00:00.000000000,Atmospheric River (AR),1038240,45467,0.04379237941131145,91980,46513,0.5056860186997173,0.49431398130028265
2017-03-16T14:00:00.000000000.nc,2017-03-16T14:00:00.000000000,Atmospheric River (AR),1038240,41537,0.040007127446447834,77579,36042,0.4645844880702252,0.5354155119297748
2017-03-16T21:00:00.000000000.nc,2017-03-16T21:00:00.000000000,Atmospheric River (AR),1038240,38393,0.036978925874556944,99927,61534,0.6157895263542386,0.3842104736457614
2017-03-20T09:00:00.000000000.nc,2017-03-20T09:00:00.000000000,Atmospheric River (AR),1038240,45160,0.0434966867005702,69700,24540,0.35208034433285507,0.6479196556671449
2017-03-23T15:00:00.000000000.nc,2017-03-23T15:00:00.000000000,Atmospheric River (AR),1038240,45230,0.043564108491292955,68378,23148,0.33852993652929303,0.6614700634707069
2017-03-26T23:00:00.000000000.nc,2017-03-26T23:00:00.000000000,Atmospheric River (AR),1038240,79831,0.07689069964555402,103139,23308,0.22598629034603787,0.7740137096539621
2017-03-27T18:00:00.000000000.nc,2017-03-27T18:00:00.000000000,Atmospheric River (AR),1038240,51121,0.04923813376483279,103520,52399,0.5061727202472952,0.4938272797527048
