PC,pc_summary,seasonal_feature,correlation,abs_correlation
4,global_absmean_score,cos_year,-0.8839600315330204,0.8839600315330204
4,global_std_score,cos_year,-0.8832171805080572,0.8832171805080572
4,global_mean_score,cos_year,-0.7952220916215376,0.7952220916215376
23,global_std_score,cos_year,0.7455824724321256,0.7455824724321256
23,global_absmean_score,cos_year,0.7338710451579258,0.7338710451579258
38,global_std_score,cos_day,-0.733223703406377,0.733223703406377
5,global_std_score,cos_year,0.7149293381101011,0.7149293381101011
5,global_absmean_score,cos_year,0.7119872071710659,0.7119872071710659
38,global_mean_score,sin_day,0.7103761108558442,0.7103761108558442
16,global_std_score,sin_year,0.6863322188011678,0.6863322188011678
38,global_absmean_score,cos_day,-0.684526876086545,0.684526876086545
7,global_std_score,sin_day,0.6621087039939803,0.6621087039939803
12,global_std_score,cos_year,0.6590402416841675,0.6590402416841675
41,global_mean_score,hour,-0.6432477401141848,0.6432477401141848
43,global_mean_score,sin_year,0.6415462470245458,0.6415462470245458
12,global_absmean_score,cos_year,0.6407484888895663,0.6407484888895663
42,global_mean_score,sin_year,0.6297627788797627,0.6297627788797627
43,global_std_score,cos_year,0.6256631522880819,0.6256631522880819
40,global_mean_score,month,-0.6180252047133249,0.6180252047133249
40,global_mean_score,dayofyear,-0.6168680044292818,0.6168680044292818
37,global_mean_score,sin_day,0.6139094086799555,0.6139094086799555
8,global_mean_score,sin_year,0.6125871264690128,0.6125871264690128
43,global_absmean_score,cos_year,0.6052349730693476,0.6052349730693476
11,global_std_score,cos_year,0.5949686658502766,0.5949686658502766
49,global_mean_score,cos_year,-0.5924564629551514,0.5924564629551514
47,global_mean_score,sin_year,-0.5911046126999902,0.5911046126999902
6,global_mean_score,hour,-0.5892425406926618,0.5892425406926618
11,global_mean_score,cos_year,-0.5851114558522503,0.5851114558522503
29,global_mean_score,hour,-0.5768343413159037,0.5768343413159037
13,global_std_score,cos_year,-0.5756454426335711,0.5756454426335711
39,global_mean_score,sin_day,0.5752854114534859,0.5752854114534859
16,global_absmean_score,sin_year,0.5749695213022319,0.5749695213022319
19,global_std_score,cos_day,0.5741363221507562,0.5741363221507562
8,global_absmean_score,cos_year,-0.5736558956478249,0.5736558956478249
5,global_absmean_score,sin_year,0.5694496067907192,0.5694496067907192
7,global_absmean_score,sin_day,0.5681067819756034,0.5681067819756034
47,global_mean_score,month,0.5611560108996957,0.5611560108996957
19,global_absmean_score,cos_day,0.5590896704517659,0.5590896704517659
17,global_std_score,cos_year,0.5588488140967581,0.5588488140967581
47,global_mean_score,dayofyear,0.5568871021063794,0.5568871021063794
8,global_mean_score,month,-0.5481985236470285,0.5481985236470285
6,global_std_score,cos_year,-0.5480539703301186,0.5480539703301186
32,global_std_score,cos_day,0.5469719186818065,0.5469719186818065
26,global_mean_score,hour,-0.5454400211808345,0.5454400211808345
8,global_mean_score,dayofyear,-0.544954894919381,0.544954894919381
5,global_std_score,sin_year,0.5430268693793044,0.5430268693793044
17,global_absmean_score,cos_year,0.5398210850801313,0.5398210850801313
34,global_mean_score,cos_year,-0.538568842213439,0.538568842213439
21,global_mean_score,sin_year,0.5381270047480368,0.5381270047480368
6,global_absmean_score,cos_year,-0.5309290843721404,0.5309290843721404
36,global_absmean_score,hour,-0.5285333339540383,0.5285333339540383
7,global_std_score,hour,-0.5279248366914885,0.5279248366914885
40,global_mean_score,sin_year,0.5268436204601981,0.5268436204601981
7,global_mean_score,cos_year,-0.5244794737268356,0.5244794737268356
36,global_std_score,hour,-0.5242110308554357,0.5242110308554357
42,global_mean_score,hour,-0.5226404624526555,0.5226404624526555
13,global_absmean_score,cos_year,-0.5219692993993044,0.5219692993993044
45,global_mean_score,cos_year,-0.5219567399797111,0.5219567399797111
26,global_absmean_score,cos_year,0.5217144911929579,0.5217144911929579
11,global_absmean_score,cos_year,0.5214072299127872,0.5214072299127872
5,global_mean_score,cos_year,0.519443045921226,0.519443045921226
36,global_absmean_score,sin_day,0.5113941605137923,0.5113941605137923
34,global_mean_score,cos_day,-0.5097621520822563,0.5097621520822563
26,global_std_score,cos_year,0.5094697827409078,0.5094697827409078
14,global_absmean_score,cos_year,-0.5087939835137958,0.5087939835137958
41,global_absmean_score,sin_day,-0.5077116718023885,0.5077116718023885
14,global_std_score,cos_year,-0.4998924614271009,0.4998924614271009
39,global_mean_score,hour,-0.49819150207832785,0.49819150207832785
7,global_mean_score,hour,-0.49450509779791263,0.49450509779791263
5,global_absmean_score,dayofyear,-0.4929232183625026,0.4929232183625026
