target,n_features,alpha,r2_test,rmse_test,corr_test,n_train,n_test,n_selected
2t,5,1.0,0.5203536152839661,10.389455629100254,0.7229151716148734,11184264,3697362,5
2t,10,1.0,0.5453176498413086,10.115474034438833,0.7397634480302574,11184264,3697362,10
2t,25,1.0,0.662627100944519,8.713392573736304,0.8143321018079547,11184264,3697362,25
2t,50,1.0,0.7824052572250366,6.997716803808839,0.885434065981484,11184264,3697362,50
2t,100,1.0,0.8182234168052673,6.395892744585711,0.9052344163160866,11184264,3697362,100
2t,200,1.0,0.8398796319961548,6.002822529978378,0.916859823824955,11184264,3697362,200
2t,400,1.0,0.8612238168716431,5.588428715408487,0.9283498726461911,11184264,3697362,400
10u,5,1.0,0.28171807527542114,4.626071496512427,0.5308650751935757,11184264,3697362,5
10u,10,1.0,0.5207446813583374,3.7787515251719395,0.7218752351969308,11184264,3697362,10
10u,25,1.0,0.6303409337997437,3.3186815272737116,0.7942064816831401,11184264,3697362,25
10u,50,1.0,0.6745361089706421,3.1139832666005076,0.8214393507730153,11184264,3697362,50
10u,100,1.0,0.7221430540084839,2.8772358700376053,0.8498995668354067,11184264,3697362,100
10u,200,1.0,0.7804689407348633,2.557483694373214,0.8836977856371625,11184264,3697362,200
10u,400,1.0,0.8109991550445557,2.372994429397314,0.9006502897472668,11184264,3697362,400
10v,5,1.0,0.018185317516326904,4.367393857280822,0.14510935330901087,11184264,3697362,5
10v,10,1.0,0.2891988754272461,3.7160509075541714,0.5410605667053683,11184264,3697362,10
10v,25,1.0,0.4923034906387329,3.140578843721777,0.7021824186170484,11184264,3697362,25
10v,50,1.0,0.5264176726341248,3.033230007074615,0.7261580074158764,11184264,3697362,50
10v,100,1.0,0.5638299584388733,2.910955086458886,0.7515814919929639,11184264,3697362,100
10v,200,1.0,0.6517024636268616,2.601254281696277,0.8075870734407341,11184264,3697362,200
10v,400,1.0,0.7149351835250854,2.353311490271817,0.8458642598007053,11184264,3697362,400
msl,5,1.0,0.22287005186080933,1078.057802253664,0.4757050200254892,11184264,3697362,5
msl,10,1.0,0.41512733697891235,935.2460237819779,0.647579679517734,11184264,3697362,10
msl,25,1.0,0.5212039947509766,846.1950129845957,0.7228874990504188,11184264,3697362,25
msl,50,1.0,0.6553279757499695,717.9566708722748,0.8106766772156054,11184264,3697362,50
msl,100,1.0,0.7263362407684326,639.7405479958262,0.852694263525728,11184264,3697362,100
msl,200,1.0,0.7821683883666992,570.7627845699122,0.8845365030025126,11184264,3697362,200
msl,400,1.0,0.8082355856895447,535.5243633580083,0.8991868931982935,11184264,3697362,400
tp,5,1.0,0.0901261568069458,0.0020426402642687966,0.3006057932820256,11184264,3697362,5
tp,10,1.0,0.10884195566177368,0.0020215228867562435,0.33005189775459276,11184264,3697362,10
tp,25,1.0,0.1420673131942749,0.001983480378085171,0.3769661220091931,11184264,3697362,25
