k,first_k,ranked_top_k,ranked_minus_first_AP
1,0.03857636931677678,0.0777416157496813,0.039165246432904526
2,0.050059471186104626,0.11112144405774589,0.061061972871641265
3,0.05873207776706104,0.12493316750351584,0.0662010897364548
5,0.08858422086855439,0.15389981012138204,0.06531558925282765
8,0.11326395331553026,0.1820278229253894,0.06876386960985915
10,0.1385690847223327,0.23691232928808578,0.09834324456575308
15,0.19097704026029205,0.3303884000474235,0.13941135978713143
20,0.2290744255769742,0.3631173758220499,0.1340429502450757
25,0.2755066254724671,0.38639240576206735,0.11088578028960022
30,0.29762388899048936,0.41033861718427067,0.11271472819378131
40,0.3698185364862574,0.44920347965581214,0.07938494316955474
50,0.41232065813690577,0.47510631826349875,0.06278566012659298
75,0.4477347896795411,0.5161552428527697,0.06842045317322859
100,0.4784580378748058,0.5366984744803522,0.05824043660554645
150,0.5175275775669541,0.5660819561620247,0.04855437859507061
200,0.5472574829531007,0.5765532715734832,0.029295788620382512
250,0.5528609478837966,0.5816381602997716,0.028777212415974973
300,0.5652728920005717,0.5848039619065553,0.019531069905983522
400,0.5784719648451059,0.5867479113365908,0.008275946491484887
512,0.5874108839463484,0.5874108840513217,1.0497325231284549e-10
