rank,pc_number,pc_index,coefficient,abs_coefficient
1,11,10,-1.123581051826477,1.123581051826477
2,2,1,-1.0262668132781982,1.0262668132781982
3,1,0,0.7959635853767395,0.7959635853767395
4,24,23,-0.6894354820251465,0.6894354820251465
5,68,67,-0.6392710208892822,0.6392710208892822
6,3,2,0.6389606595039368,0.6389606595039368
7,27,26,-0.6109614372253418,0.6109614372253418
8,34,33,-0.6099626421928406,0.6099626421928406
9,73,72,-0.5759760737419128,0.5759760737419128
10,28,27,-0.5551891326904297,0.5551891326904297
11,33,32,0.5307632088661194,0.5307632088661194
12,39,38,-0.5269905924797058,0.5269905924797058
13,13,12,0.502793550491333,0.502793550491333
14,29,28,-0.47485780715942383,0.47485780715942383
15,38,37,0.4629092514514923,0.4629092514514923
16,511,510,0.4567278325557709,0.4567278325557709
17,9,8,-0.43294551968574524,0.43294551968574524
18,179,178,-0.40419721603393555,0.40419721603393555
19,60,59,-0.40368929505348206,0.40368929505348206
20,111,110,-0.38304755091667175,0.38304755091667175
21,78,77,0.36914148926734924,0.36914148926734924
22,86,85,0.3686698079109192,0.3686698079109192
23,87,86,0.3628598153591156,0.3628598153591156
24,59,58,0.35852307081222534,0.35852307081222534
25,62,61,-0.3584485948085785,0.3584485948085785
26,65,64,-0.35126176476478577,0.35126176476478577
27,216,215,-0.34502577781677246,0.34502577781677246
28,50,49,-0.34405454993247986,0.34405454993247986
29,352,351,-0.34366488456726074,0.34366488456726074
30,257,256,0.34021368622779846,0.34021368622779846
31,41,40,-0.34007447957992554,0.34007447957992554
32,101,100,-0.3383671045303345,0.3383671045303345
33,105,104,-0.3257922828197479,0.3257922828197479
34,103,102,0.3201947510242462,0.3201947510242462
35,139,138,0.30816489458084106,0.30816489458084106
36,190,189,-0.3054892420768738,0.3054892420768738
37,242,241,-0.30084314942359924,0.30084314942359924
38,20,19,0.2940710484981537,0.2940710484981537
39,379,378,0.29303187131881714,0.29303187131881714
40,228,227,0.2874886393547058,0.2874886393547058
41,260,259,0.2818646728992462,0.2818646728992462
42,40,39,0.27789971232414246,0.27789971232414246
43,158,157,-0.27751490473747253,0.27751490473747253
44,510,509,0.27514123916625977,0.27514123916625977
45,369,368,-0.2717183530330658,0.2717183530330658
46,106,105,-0.2704260051250458,0.2704260051250458
47,142,141,-0.2697398066520691,0.2697398066520691
48,145,144,0.2627791464328766,0.2627791464328766
49,12,11,0.2615974545478821,0.2615974545478821
50,109,108,0.2580139636993408,0.2580139636993408
51,64,63,0.2573477625846863,0.2573477625846863
52,70,69,-0.2563081681728363,0.2563081681728363
53,168,167,-0.2532469928264618,0.2532469928264618
54,334,333,0.2506920397281647,0.2506920397281647
55,163,162,0.24909396469593048,0.24909396469593048
56,162,161,0.24800178408622742,0.24800178408622742
57,76,75,-0.2418566346168518,0.2418566346168518
58,52,51,-0.23982547223567963,0.23982547223567963
59,6,5,0.23749063909053802,0.23749063909053802
