k,first_k,ranked_top_k,ranked_minus_first_AP
1,0.0005249650126767251,0.0011267542787621132,0.0006017892660853881
2,0.0014120463344321676,0.002543147658913827,0.0011311013244816594
3,0.0015104364957643382,0.0023681020326658184,0.0008576655369014802
5,0.0015288149557091302,0.002914131220759384,0.0013853162650502536
8,0.002048990545343491,0.003874424235488186,0.0018254336901446949
10,0.0022554938438598894,0.005591672382106177,0.003336178538246288
15,0.0041241858338953484,0.006895589433304242,0.0027714035994088936
20,0.004599716332034496,0.011408415942091892,0.006808699610057397
25,0.0052915435524015534,0.015379294441593014,0.01008775088919146
30,0.005921649056974561,0.02980192477338161,0.023880275716407048
40,0.010542747789218916,0.05756645135810734,0.04702370356888842
50,0.01299136316787379,0.07762467459980725,0.06463331143193346
75,0.03118363986933855,0.19972372673640945,0.1685400868670709
100,0.051935901439125645,0.26609621954643714,0.2141603181073115
150,0.1307201906405851,0.3543821445443591,0.22366195390377402
200,0.21398674001087117,0.3597667353932596,0.14577999538238842
250,0.24848873168217037,0.39007388071467475,0.14158514903250438
300,0.3057515301711574,0.3936804655359897,0.08792893536483226
400,0.3778701268963686,0.41009303021495236,0.03222290331858374
512,0.4075955201969609,0.4075955201969609,0.0
