gamma,lead_hours,global_mean_ivt,file
-1.0,6.0,175.52443886662198,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-1.0.nc
-1.0,12.0,173.4271885780941,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-1.0.nc
-1.0,18.0,171.47447370515488,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-1.0.nc
-1.0,24.0,172.05333178443084,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-1.0.nc
-1.0,30.0,169.39273812077678,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-1.0.nc
-1.0,36.0,167.06020048833113,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-1.0.nc
-1.0,42.0,165.43587132984558,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-1.0.nc
-1.0,48.0,165.08250678377422,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-1.0.nc
-1.0,54.0,163.91772807152705,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-1.0.nc
-1.0,60.0,162.05442714266795,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-1.0.nc
-1.0,66.0,160.8372048801477,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-1.0.nc
-1.0,72.0,160.14192284203682,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-1.0.nc
-1.0,78.0,159.54624806794843,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-1.0.nc
-1.0,84.0,158.46303370769843,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-1.0.nc
-1.0,90.0,158.1908334223561,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-1.0.nc
-1.0,96.0,158.0497652502124,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-1.0.nc
-1.0,102.0,158.58195912693267,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-1.0.nc
-1.0,108.0,158.28652885766238,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-1.0.nc
-1.0,114.0,158.0798142129518,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-1.0.nc
-1.0,120.0,157.71713577359697,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-1.0.nc
-0.5,6.0,176.14509742492322,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-0.5.nc
-0.5,12.0,174.40454003228635,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-0.5.nc
-0.5,18.0,172.73270912086952,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-0.5.nc
-0.5,24.0,173.54612393463347,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-0.5.nc
