gamma,lead_hours,global_mean_ivt,file
-1.0,6.0,175.00300575662834,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-1.0.nc
-1.0,12.0,172.46342425560096,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-1.0.nc
-1.0,18.0,170.1072034645202,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-1.0.nc
-1.0,24.0,170.32351745793738,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-1.0.nc
-1.0,30.0,167.2713151230085,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-1.0.nc
-1.0,36.0,164.59206030986113,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-1.0.nc
-1.0,42.0,162.60262754597383,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-1.0.nc
-1.0,48.0,162.0045220630895,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-1.0.nc
-1.0,54.0,160.57021548150198,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-1.0.nc
-1.0,60.0,158.51166186265644,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-1.0.nc
-1.0,66.0,157.12947697515747,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-1.0.nc
-1.0,72.0,156.28141271645697,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-1.0.nc
-1.0,78.0,155.58618206474299,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-1.0.nc
-1.0,84.0,154.4971137591586,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-1.0.nc
-1.0,90.0,154.19795655000246,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-1.0.nc
-1.0,96.0,153.89635184274397,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-1.0.nc
-1.0,102.0,154.24587861065157,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-1.0.nc
-1.0,108.0,153.73912116823504,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-1.0.nc
-1.0,114.0,153.35917443560555,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-1.0.nc
-1.0,120.0,152.79525813169406,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-1.0.nc
-0.5,6.0,175.87911965342448,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.5.nc
-0.5,12.0,173.9141867782179,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.5.nc
-0.5,18.0,172.0455342173361,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.5.nc
-0.5,24.0,172.66525742147087,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.5.nc
-0.5,30.0,170.01221754350914,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.5.nc
-0.5,36.0,167.6425427248585,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.5.nc
-0.5,42.0,165.93331535203342,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.5.nc
-0.5,48.0,165.4657505710057,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.5.nc
-0.5,54.0,164.0910589160177,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.5.nc
-0.5,60.0,162.0321069660887,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.5.nc
-0.5,66.0,160.7234308214291,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.5.nc
-0.5,72.0,159.9472590989299,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.5.nc
-0.5,78.0,159.30695795948006,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.5.nc
-0.5,84.0,158.15311823959468,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.5.nc
-0.5,90.0,157.86790724794352,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.5.nc
-0.5,96.0,157.61382310180298,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.5.nc
-0.5,102.0,158.24380580709635,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.5.nc
-0.5,108.0,157.8803336813639,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.5.nc
-0.5,114.0,157.6303787672692,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.5.nc
-0.5,120.0,157.068479380939,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.5.nc
-0.2,6.0,176.4068883962144,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.2.nc
-0.2,12.0,174.81593078098678,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.2.nc
-0.2,18.0,173.2407074746268,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.2.nc
-0.2,24.0,174.1207682116823,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.2.nc
-0.2,30.0,171.70626263440184,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.2.nc
-0.2,36.0,169.56064418270293,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.2.nc
-0.2,42.0,168.055229468401,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.2.nc
-0.2,48.0,167.7012902137218,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.2.nc
-0.2,54.0,166.43420516965108,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.2.nc
-0.2,60.0,164.39180431404637,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.2.nc
-0.2,66.0,163.16845483759516,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.2.nc
-0.2,72.0,162.44678944075858,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.2.nc
-0.2,78.0,161.85285383704547,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.2.nc
-0.2,84.0,160.66811828792322,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.2.nc
-0.2,90.0,160.3794568280564,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.2.nc
-0.2,96.0,160.2173434857534,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.2.nc
-0.2,102.0,161.05425955199976,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.2.nc
-0.2,108.0,160.76257596514577,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.2.nc
-0.2,114.0,160.59904673195754,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.2.nc
-0.2,120.0,160.03636971156902,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.2.nc
0.0,6.0,176.77014539115578,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.0.nc
0.0,12.0,175.4216871507282,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.0.nc
0.0,18.0,174.06528822475605,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.0.nc
0.0,24.0,175.12268785680678,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.0.nc
0.0,30.0,172.8919429248265,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.0.nc
0.0,36.0,170.9125517770505,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.0.nc
0.0,42.0,169.54003039313227,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.0.nc
0.0,48.0,169.29309834818505,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.0.nc
0.0,54.0,168.0965223418864,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.0.nc
0.0,60.0,166.09280213698727,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.0.nc
0.0,66.0,164.92132882446822,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.0.nc
0.0,72.0,164.23453044003645,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.0.nc
0.0,78.0,163.6736817463985,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.0.nc
0.0,84.0,162.46857368421993,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.0.nc
0.0,90.0,162.21052891392927,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.0.nc
0.0,96.0,162.09908913747492,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.0.nc
0.0,102.0,163.1013701082996,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.0.nc
0.0,108.0,162.85143512642406,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.0.nc
0.0,114.0,162.72577288385722,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.0.nc
0.0,120.0,162.1952558933702,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.0.nc
0.2,6.0,177.12902754506072,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.2.nc
0.2,12.0,176.03959277198175,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.2.nc
0.2,18.0,174.90164447032865,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.2.nc
0.2,24.0,176.1663001474912,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.2.nc
0.2,30.0,174.13174416247574,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.2.nc
0.2,36.0,172.32823846886706,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.2.nc
0.2,42.0,171.10794864089561,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.2.nc
0.2,48.0,170.93937733370964,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.2.nc
0.2,54.0,169.83346275819767,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.2.nc
0.2,60.0,167.89887838108874,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.2.nc
0.2,66.0,166.81459360219716,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.2.nc
0.2,72.0,166.15882794838,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.2.nc
0.2,78.0,165.65802868434082,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.2.nc
0.2,84.0,164.45933526679656,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.2.nc
0.2,90.0,164.2590493533336,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.2.nc
0.2,96.0,164.20419016336595,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.2.nc
0.2,102.0,165.34258077864308,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.2.nc
0.2,108.0,165.1498455151885,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.2.nc
0.2,114.0,165.10776968706057,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.2.nc
0.2,120.0,164.64458818662783,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.2.nc
0.5,6.0,177.67401652664066,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.5.nc
0.5,12.0,176.96995805222048,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.5.nc
0.5,18.0,176.17810094016411,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.5.nc
0.5,24.0,177.73680157914322,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.5.nc
0.5,30.0,176.0067381261119,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.5.nc
0.5,36.0,174.46289418237512,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.5.nc
0.5,42.0,173.46029405446887,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.5.nc
0.5,48.0,173.4803409101482,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.5.nc
0.5,54.0,172.5509084930362,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.5.nc
0.5,60.0,170.72747322621277,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.5.nc
0.5,66.0,169.77894210441838,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.5.nc
0.5,72.0,169.2322317981729,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.5.nc
0.5,78.0,168.8791017909729,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.5.nc
0.5,84.0,167.67821313936335,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.5.nc
0.5,90.0,167.54990270030086,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.5.nc
0.5,96.0,167.63711494811162,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.5.nc
0.5,102.0,168.91549114977528,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.5.nc
0.5,108.0,168.83647143521745,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.5.nc
0.5,114.0,168.91254335367458,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.5.nc
0.5,120.0,168.5797717962887,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.5.nc
1.0,6.0,178.59325124085825,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_1.0.nc
1.0,12.0,178.57685185166284,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_1.0.nc
1.0,18.0,178.3834942208942,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_1.0.nc
