source,gamma,lead_hours,forecast_valid_time,global_mean_ivt,file
GraphCast,-1.0,6.0,2021-02-13 00:00:00,155.58354878619016,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-1.0.nc
GraphCast,-1.0,12.0,2021-02-13 06:00:00,154.1886031264138,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-1.0.nc
GraphCast,-1.0,18.0,2021-02-13 12:00:00,151.85007051407507,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-1.0.nc
GraphCast,-1.0,24.0,2021-02-13 18:00:00,149.68306453487642,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-1.0.nc
GraphCast,-1.0,30.0,2021-02-14 00:00:00,148.12044766646483,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-1.0.nc
GraphCast,-1.0,36.0,2021-02-14 06:00:00,148.55822638027917,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-1.0.nc
GraphCast,-1.0,42.0,2021-02-14 12:00:00,148.5382972731364,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-1.0.nc
GraphCast,-1.0,48.0,2021-02-14 18:00:00,149.31447444235903,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-1.0.nc
GraphCast,-1.0,54.0,2021-02-15 00:00:00,150.1962404699539,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-1.0.nc
GraphCast,-1.0,60.0,2021-02-15 06:00:00,151.80159296371068,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-1.0.nc
GraphCast,-1.0,66.0,2021-02-15 12:00:00,151.98650474336623,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-1.0.nc
GraphCast,-1.0,72.0,2021-02-15 18:00:00,151.9303084207983,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-1.0.nc
GraphCast,-1.0,78.0,2021-02-16 00:00:00,150.81844642059082,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-1.0.nc
GraphCast,-1.0,84.0,2021-02-16 06:00:00,150.6374035221163,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-1.0.nc
GraphCast,-1.0,90.0,2021-02-16 12:00:00,150.46666686559905,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-1.0.nc
GraphCast,-1.0,96.0,2021-02-16 18:00:00,150.98237892941722,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-1.0.nc
GraphCast,-1.0,102.0,2021-02-17 00:00:00,150.98917744355163,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-1.0.nc
GraphCast,-1.0,108.0,2021-02-17 06:00:00,152.86461705466485,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-1.0.nc
GraphCast,-1.0,114.0,2021-02-17 12:00:00,153.8110210203351,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-1.0.nc
GraphCast,-1.0,120.0,2021-02-17 18:00:00,154.4586000770446,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-1.0.nc
GraphCast,-0.5,6.0,2021-02-13 00:00:00,156.0249523735755,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.5.nc
GraphCast,-0.5,12.0,2021-02-13 06:00:00,154.84725062385647,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.5.nc
GraphCast,-0.5,18.0,2021-02-13 12:00:00,152.66901934211478,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.5.nc
GraphCast,-0.5,24.0,2021-02-13 18:00:00,150.5590954323492,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.5.nc
GraphCast,-0.5,30.0,2021-02-14 00:00:00,149.0640270913158,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.5.nc
GraphCast,-0.5,36.0,2021-02-14 06:00:00,149.5760611326791,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.5.nc
GraphCast,-0.5,42.0,2021-02-14 12:00:00,149.66128989504773,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.5.nc
GraphCast,-0.5,48.0,2021-02-14 18:00:00,150.50416281408653,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.5.nc
GraphCast,-0.5,54.0,2021-02-15 00:00:00,151.53252133488482,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.5.nc
GraphCast,-0.5,60.0,2021-02-15 06:00:00,153.18473707120498,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.5.nc
GraphCast,-0.5,66.0,2021-02-15 12:00:00,153.3930626261742,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.5.nc
GraphCast,-0.5,72.0,2021-02-15 18:00:00,153.3618948063498,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.5.nc
GraphCast,-0.5,78.0,2021-02-16 00:00:00,152.30268782103772,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.5.nc
GraphCast,-0.5,84.0,2021-02-16 06:00:00,152.04784323611875,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.5.nc
GraphCast,-0.5,90.0,2021-02-16 12:00:00,151.728370952133,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.5.nc
GraphCast,-0.5,96.0,2021-02-16 18:00:00,152.15110683598633,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.5.nc
GraphCast,-0.5,102.0,2021-02-17 00:00:00,152.15397301529788,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.5.nc
GraphCast,-0.5,108.0,2021-02-17 06:00:00,153.9735952926499,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.5.nc
GraphCast,-0.5,114.0,2021-02-17 12:00:00,154.95237080768078,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.5.nc
