center_lat,center_lon,min_mslp_hpa,max_10m_wind,source,lead_hours,lead_label,forecast_valid_time,era5_time,era5_file,tc_id,component_n_pixels,initial_center_lat,initial_center_lon,mask_file,mask_time,mask_time_diff_h
-19.25,110.25,992.3524780273438,18.331289291381836,ERA5,6.0,6h,2021-04-09 00:00:00,2021-04-09 00:00:00,/share/prj-4d/graphcast_shared/data/era5_daily_nc/era5_2021-04-09.nc,1,631,-19.0,110.25,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-04-09T00:00:00.000000000.nc,2021-04-09 00:00:00,0.0
-19.75,109.5,989.3272094726562,19.14483642578125,ERA5,12.0,12h,2021-04-09 06:00:00,2021-04-09 06:00:00,/share/prj-4d/graphcast_shared/data/era5_daily_nc/era5_2021-04-09.nc,1,631,-19.0,110.25,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-04-09T00:00:00.000000000.nc,2021-04-09 00:00:00,0.0
-20.0,108.75,989.1220092773438,19.055213928222656,ERA5,18.0,18h,2021-04-09 12:00:00,2021-04-09 12:00:00,/share/prj-4d/graphcast_shared/data/era5_daily_nc/era5_2021-04-09.nc,1,631,-19.0,110.25,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-04-09T00:00:00.000000000.nc,2021-04-09 00:00:00,0.0
-20.25,108.25,987.6478271484375,18.802257537841797,ERA5,24.0,1d,2021-04-09 18:00:00,2021-04-09 18:00:00,/share/prj-4d/graphcast_shared/data/era5_daily_nc/era5_2021-04-09.nc,1,631,-19.0,110.25,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-04-09T00:00:00.000000000.nc,2021-04-09 00:00:00,0.0
-20.25,108.0,986.186279296875,20.781660079956055,ERA5,30.0,1d 6h,2021-04-10 00:00:00,2021-04-10 00:00:00,/share/prj-4d/graphcast_shared/data/era5_daily_nc/era5_2021-04-10.nc,1,631,-19.0,110.25,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-04-09T00:00:00.000000000.nc,2021-04-09 00:00:00,0.0
-20.75,108.25,985.6804809570312,21.98276138305664,ERA5,36.0,1d 12h,2021-04-10 06:00:00,2021-04-10 06:00:00,/share/prj-4d/graphcast_shared/data/era5_daily_nc/era5_2021-04-10.nc,1,631,-19.0,110.25,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-04-09T00:00:00.000000000.nc,2021-04-09 00:00:00,0.0
-21.5,108.75,988.0392456054688,22.189119338989258,ERA5,42.0,1d 18h,2021-04-10 12:00:00,2021-04-10 12:00:00,/share/prj-4d/graphcast_shared/data/era5_daily_nc/era5_2021-04-10.nc,1,631,-19.0,110.25,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-04-09T00:00:00.000000000.nc,2021-04-09 00:00:00,0.0
-22.75,109.5,988.2817993164062,22.475540161132812,ERA5,48.0,2d,2021-04-10 18:00:00,2021-04-10 18:00:00,/share/prj-4d/graphcast_shared/data/era5_daily_nc/era5_2021-04-10.nc,1,631,-19.0,110.25,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-04-09T00:00:00.000000000.nc,2021-04-09 00:00:00,0.0
-24.25,110.5,989.769287109375,22.328365325927734,ERA5,54.0,2d 6h,2021-04-11 00:00:00,2021-04-11 00:00:00,/share/prj-4d/graphcast_shared/data/era5_daily_nc/era5_2021-04-11.nc,1,631,-19.0,110.25,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-04-09T00:00:00.000000000.nc,2021-04-09 00:00:00,0.0
-26.25,111.75,988.5940551757812,22.685794830322266,ERA5,60.0,2d 12h,2021-04-11 06:00:00,2021-04-11 06:00:00,/share/prj-4d/graphcast_shared/data/era5_daily_nc/era5_2021-04-11.nc,1,631,-19.0,110.25,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-04-09T00:00:00.000000000.nc,2021-04-09 00:00:00,0.0
-28.25,113.75,988.7179565429688,20.098697662353516,ERA5,66.0,2d 18h,2021-04-11 12:00:00,2021-04-11 12:00:00,/share/prj-4d/graphcast_shared/data/era5_daily_nc/era5_2021-04-11.nc,1,631,-19.0,110.25,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-04-09T00:00:00.000000000.nc,2021-04-09 00:00:00,0.0
-30.25,115.75,987.8281860351562,19.269495010375977,ERA5,72.0,3d,2021-04-11 18:00:00,2021-04-11 18:00:00,/share/prj-4d/graphcast_shared/data/era5_daily_nc/era5_2021-04-11.nc,1,631,-19.0,110.25,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-04-09T00:00:00.000000000.nc,2021-04-09 00:00:00,0.0
-32.0,118.0,994.356201171875,11.737221717834473,ERA5,78.0,3d 6h,2021-04-12 00:00:00,2021-04-12 00:00:00,/share/prj-4d/graphcast_shared/data/era5_daily_nc/era5_2021-04-12.nc,1,631,-19.0,110.25,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-04-09T00:00:00.000000000.nc,2021-04-09 00:00:00,0.0
-33.75,120.25,997.2346801757812,15.578946113586426,ERA5,84.0,3d 12h,2021-04-12 06:00:00,2021-04-12 06:00:00,/share/prj-4d/graphcast_shared/data/era5_daily_nc/era5_2021-04-12.nc,1,631,-19.0,110.25,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-04-09T00:00:00.000000000.nc,2021-04-09 00:00:00,0.0
-34.75,123.25,1000.8488159179688,15.336984634399414,ERA5,90.0,3d 18h,2021-04-12 12:00:00,2021-04-12 12:00:00,/share/prj-4d/graphcast_shared/data/era5_daily_nc/era5_2021-04-12.nc,1,631,-19.0,110.25,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-04-09T00:00:00.000000000.nc,2021-04-09 00:00:00,0.0
