center_lat,center_lon,min_mslp_hpa,max_10m_wind,mean_precip,max_precip,gamma,lead_hours,lead_label,forecast_valid_time,file,control_center_lat,control_center_lon,control_min_mslp_hpa,control_max_10m_wind,track_error_km,delta_min_mslp_hpa,delta_max_10m_wind
-19.0,110.25,992.822021484375,16.458837509155273,0.012729126028716564,0.05335165932774544,-1.0,6.0,6h,2021-04-09 00:00:00,plots/malins_experiments/pertubation_experiments/TC/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-04-08T18/data/gamma_-1.0.nc,-19.0,110.25,992.5509643554688,16.55045509338379,0.0,0.27105712890625,-0.09161758422851562
-19.5,109.75,991.4324340820312,16.427021026611328,0.009202846325933933,0.0250813290476799,-1.0,12.0,12h,2021-04-09 06:00:00,plots/malins_experiments/pertubation_experiments/TC/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-04-08T18/data/gamma_-1.0.nc,-19.5,109.75,990.7653198242188,16.677932739257812,0.0,0.6671142578125,-0.2509117126464844
-19.75,109.5,992.1246337890625,15.89564323425293,0.00910993292927742,0.027000686153769493,-1.0,18.0,18h,2021-04-09 12:00:00,plots/malins_experiments/pertubation_experiments/TC/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-04-08T18/data/gamma_-1.0.nc,-19.75,109.25,990.9706420898438,16.453237533569336,26.16349712406126,1.15399169921875,-0.5575942993164062
-20.25,109.0,991.887939453125,16.029178619384766,0.008593877777457237,0.027405500411987305,-1.0,24.0,1d,2021-04-09 18:00:00,plots/malins_experiments/pertubation_experiments/TC/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-04-08T18/data/gamma_-1.0.nc,-20.25,109.0,990.324462890625,16.794330596923828,0.0,1.5634765625,-0.7651519775390625
-20.5,108.75,992.3113403320312,14.976810455322266,0.008087811060249805,0.030647166073322296,-1.0,30.0,1d 6h,2021-04-10 00:00:00,plots/malins_experiments/pertubation_experiments/TC/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-04-08T18/data/gamma_-1.0.nc,-20.5,108.75,989.9398193359375,15.959644317626953,0.0,2.37152099609375,-0.9828338623046875
-21.25,109.0,992.38134765625,15.660642623901367,0.006217946298420429,0.031475212424993515,-1.0,36.0,1d 12h,2021-04-10 06:00:00,plots/malins_experiments/pertubation_experiments/TC/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-04-08T18/data/gamma_-1.0.nc,-21.25,109.0,989.7910766601562,16.72730255126953,0.0,2.59027099609375,-1.066659927368164
-22.25,109.5,995.0985107421875,15.416081428527832,0.005115008447319269,0.026396865025162697,-1.0,42.0,1d 18h,2021-04-10 12:00:00,plots/malins_experiments/pertubation_experiments/TC/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-04-08T18/data/gamma_-1.0.nc,-22.0,109.25,992.2730712890625,16.941665649414062,37.89354352291109,2.825439453125,-1.5255842208862305
-23.0,109.5,996.2490844726562,16.010574340820312,0.004822419490665197,0.022597739472985268,-1.0,48.0,2d,2021-04-10 18:00:00,plots/malins_experiments/pertubation_experiments/TC/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-04-08T18/data/gamma_-1.0.nc,-23.0,109.5,992.99267578125,17.577484130859375,0.0,3.25640869140625,-1.5669097900390625
-24.5,110.25,996.5198364257812,15.998512268066406,0.004459398332983255,0.022195221856236458,-1.0,54.0,2d 6h,2021-04-11 00:00:00,plots/malins_experiments/pertubation_experiments/TC/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-04-08T18/data/gamma_-1.0.nc,-24.5,110.25,993.0554809570312,17.963802337646484,0.0,3.46435546875,-1.9652900695800781
-26.25,111.25,996.221923828125,16.700754165649414,0.004693483933806419,0.026267163455486298,-1.0,60.0,2d 12h,2021-04-11 06:00:00,plots/malins_experiments/pertubation_experiments/TC/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-04-08T18/data/gamma_-1.0.nc,-26.0,111.5,991.5554809570312,18.393970489501953,37.359118632842005,4.66644287109375,-1.693216323852539
-27.75,113.0,996.2500610351562,15.338296890258789,0.006411986891180277,0.02852834016084671,-1.0,66.0,2d 18h,2021-04-11 12:00:00,plots/malins_experiments/pertubation_experiments/TC/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-04-08T18/data/gamma_-1.0.nc,-27.75,113.25,991.5549926757812,17.248201370239258,24.60152962629685,4.695068359375,-1.9099044799804688
-29.5,115.25,997.4152221679688,14.524370193481445,0.008642029017210007,0.023678816854953766,-1.0,72.0,3d,2021-04-11 18:00:00,plots/malins_experiments/pertubation_experiments/TC/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-04-08T18/data/gamma_-1.0.nc,-29.5,116.0,992.9696655273438,16.822357177734375,72.58422766496966,4.445556640625,-2.2979869842529297
