mask_file,mask_time,graphcast_time,year,t_idx,time_difference_hours,positive_nodes,positive_fraction,activation_file
2020-01-01T06:00:00.000000000.nc,2020-01-01 06:00:00,2020-01-01 06:00:00,2020,1,0.0,825,0.02014061813388018,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-01-01T06.npy
2020-01-01T17:00:00.000000000.nc,2020-01-01 17:00:00,2020-01-01 18:00:00,2020,3,1.0,1988,0.04853278648503491,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-01-01T18.npy
2020-01-05T12:00:00.000000000.nc,2020-01-05 12:00:00,2020-01-05 12:00:00,2020,18,0.0,2985,0.0728724183389483,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-01-05T12.npy
2020-01-05T20:00:00.000000000.nc,2020-01-05 20:00:00,2020-01-05 18:00:00,2020,19,2.0,2160,0.05273180020506811,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-01-05T18.npy
2020-01-06T14:00:00.000000000.nc,2020-01-06 14:00:00,2020-01-06 12:00:00,2020,22,2.0,1320,0.03222498901420829,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-01-06T12.npy
2020-01-08T15:00:00.000000000.nc,2020-01-08 15:00:00,2020-01-08 12:00:00,2020,30,3.0,1734,0.04233191738684634,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-01-08T12.npy
2020-01-11T04:00:00.000000000.nc,2020-01-11 04:00:00,2020-01-11 06:00:00,2020,41,2.0,2142,0.05229236853669254,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-01-11T06.npy
2020-01-15T14:00:00.000000000.nc,2020-01-15 14:00:00,2020-01-15 12:00:00,2020,58,2.0,2153,0.052560910111810945,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-01-15T12.npy
2020-01-16T01:00:00.000000000.nc,2020-01-16 01:00:00,2020-01-16 00:00:00,2020,60,1.0,2030,0.049558127044577904,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-01-16T00.npy
2020-01-18T11:00:00.000000000.nc,2020-01-18 11:00:00,2020-01-18 12:00:00,2020,70,1.0,1520,0.037107563107270154,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-01-18T12.npy
