mask_file,mask_time,graphcast_time,year,t_idx,time_difference_hours,positive_nodes,positive_fraction
2019-01-01T05:00:00.000000000.nc,2019-01-01 05:00:00,2019-01-01 06:00:00,2019,1,1.0,0,0.0
2019-01-01T21:00:00.000000000.nc,2019-01-01 21:00:00,2019-01-01 18:00:00,2019,3,3.0,78,0.0019042038962941263
2019-01-04T06:00:00.000000000.nc,2019-01-04 06:00:00,2019-01-04 06:00:00,2019,13,0.0,109,0.002661002880718715
2019-01-05T09:00:00.000000000.nc,2019-01-05 09:00:00,2019-01-05 06:00:00,2019,17,3.0,32,0.000781211854889898
2019-01-05T13:00:00.000000000.nc,2019-01-05 13:00:00,2019-01-05 12:00:00,2019,18,1.0,29,0.00070797324349397
2019-01-07T16:00:00.000000000.nc,2019-01-07 16:00:00,2019-01-07 18:00:00,2019,27,2.0,0,0.0
2019-01-10T10:00:00.000000000.nc,2019-01-10 10:00:00,2019-01-10 12:00:00,2019,38,2.0,0,0.0
2019-01-13T10:00:00.000000000.nc,2019-01-13 10:00:00,2019-01-13 12:00:00,2019,50,2.0,0,0.0
2019-01-15T14:00:00.000000000.nc,2019-01-15 14:00:00,2019-01-15 12:00:00,2019,58,2.0,0,0.0
2019-01-15T21:00:00.000000000.nc,2019-01-15 21:00:00,2019-01-15 18:00:00,2019,59,3.0,0,0.0
2019-01-16T12:00:00.000000000.nc,2019-01-16 12:00:00,2019-01-16 12:00:00,2019,62,0.0,0,0.0
2019-01-17T03:00:00.000000000.nc,2019-01-17 03:00:00,2019-01-17 00:00:00,2019,64,3.0,0,0.0
2019-01-18T21:00:00.000000000.nc,2019-01-18 21:00:00,2019-01-18 18:00:00,2019,71,3.0,0,0.0
2019-01-20T09:00:00.000000000.nc,2019-01-20 09:00:00,2019-01-20 06:00:00,2019,77,3.0,38,0.0009276890776817538
2019-01-20T10:00:00.000000000.nc,2019-01-20 10:00:00,2019-01-20 12:00:00,2019,78,2.0,32,0.000781211854889898
2019-01-21T16:00:00.000000000.nc,2019-01-21 16:00:00,2019-01-21 18:00:00,2019,83,2.0,0,0.0
2019-01-22T00:00:00.000000000.nc,2019-01-22 00:00:00,2019-01-22 00:00:00,2019,84,0.0,0,0.0
2019-01-24T07:00:00.000000000.nc,2019-01-24 07:00:00,2019-01-24 06:00:00,2019,93,1.0,59,0.0014403593574532493
2019-01-27T01:00:00.000000000.nc,2019-01-27 01:00:00,2019-01-27 00:00:00,2019,104,1.0,40,0.0009765148186123725
2019-01-28T13:00:00.000000000.nc,2019-01-28 13:00:00,2019-01-28 12:00:00,2019,110,1.0,38,0.0009276890776817538
2019-01-28T17:00:00.000000000.nc,2019-01-28 17:00:00,2019-01-28 18:00:00,2019,111,1.0,67,0.0016356623211757238
2019-01-28T19:00:00.000000000.nc,2019-01-28 19:00:00,2019-01-28 18:00:00,2019,111,1.0,50,0.0012206435232654655
2019-01-29T12:00:00.000000000.nc,2019-01-29 12:00:00,2019-01-29 12:00:00,2019,114,0.0,37,0.0009032762072164445
2019-01-29T23:00:00.000000000.nc,2019-01-29 23:00:00,2019-01-30 00:00:00,2019,116,1.0,32,0.000781211854889898
2019-01-30T03:00:00.000000000.nc,2019-01-30 03:00:00,2019-01-30 00:00:00,2019,116,3.0,55,0.0013427078755920121
2019-01-31T03:00:00.000000000.nc,2019-01-31 03:00:00,2019-01-31 00:00:00,2019,120,3.0,0,0.0
2019-01-31T16:00:00.000000000.nc,2019-01-31 16:00:00,2019-01-31 18:00:00,2019,123,2.0,28,0.0006835603730286607
2019-02-03T23:00:00.000000000.nc,2019-02-03 23:00:00,2019-02-04 00:00:00,2019,136,1.0,59,0.0014403593574532493
2019-02-06T11:00:00.000000000.nc,2019-02-06 11:00:00,2019-02-06 12:00:00,2019,146,1.0,51,0.0012450563937307748
2019-02-06T17:00:00.000000000.nc,2019-02-06 17:00:00,2019-02-06 18:00:00,2019,147,1.0,60,0.0014647722279185586
2019-02-07T06:00:00.000000000.nc,2019-02-07 06:00:00,2019-02-07 06:00:00,2019,149,0.0,80,0.001953029637224745
2019-02-07T07:00:00.000000000.nc,2019-02-07 07:00:00,2019-02-07 06:00:00,2019,149,1.0,62,0.0015135979688491773
2019-02-09T22:00:00.000000000.nc,2019-02-09 22:00:00,2019-02-10 00:00:00,2019,160,2.0,66,0.0016112494507104144
2019-02-10T22:00:00.000000000.nc,2019-02-10 22:00:00,2019-02-11 00:00:00,2019,164,2.0,71,0.0017333138030369611
2019-02-11T21:00:00.000000000.nc,2019-02-11 21:00:00,2019-02-11 18:00:00,2019,167,3.0,186,0.004540793906547532
2019-02-12T05:00:00.000000000.nc,2019-02-12 05:00:00,2019-02-12 06:00:00,2019,169,1.0,144,0.003515453347004541
2019-02-14T01:00:00.000000000.nc,2019-02-14 01:00:00,2019-02-14 00:00:00,2019,176,1.0,34,0.0008300375958205166
2019-02-17T00:00:00.000000000.nc,2019-02-17 00:00:00,2019-02-17 00:00:00,2019,188,0.0,102,0.0024901127874615496
2019-02-19T13:00:00.000000000.nc,2019-02-19 13:00:00,2019-02-19 12:00:00,2019,198,1.0,82,0.0020018553781553637
2019-02-20T07:00:00.000000000.nc,2019-02-20 07:00:00,2019-02-20 06:00:00,2019,201,1.0,139,0.0033933889946779943
2019-02-22T05:00:00.000000000.nc,2019-02-22 05:00:00,2019-02-22 06:00:00,2019,209,1.0,128,0.003124847419559592
2019-02-22T22:00:00.000000000.nc,2019-02-22 22:00:00,2019-02-23 00:00:00,2019,212,2.0,171,0.004174600849567892
2019-02-24T15:00:00.000000000.nc,2019-02-24 15:00:00,2019-02-24 12:00:00,2019,218,3.0,95,0.0023192226942043846
2019-02-24T23:00:00.000000000.nc,2019-02-24 23:00:00,2019-02-25 00:00:00,2019,220,1.0,31,0.0007567989844245887
2019-02-26T00:00:00.000000000.nc,2019-02-26 00:00:00,2019-02-26 00:00:00,2019,224,0.0,33,0.0008056247253552072
2019-02-27T00:00:00.000000000.nc,2019-02-27 00:00:00,2019-02-27 00:00:00,2019,228,0.0,68,0.0016600751916410331
2019-02-27T16:00:00.000000000.nc,2019-02-27 16:00:00,2019-02-27 18:00:00,2019,231,2.0,34,0.0008300375958205166
2019-03-01T07:00:00.000000000.nc,2019-03-01 07:00:00,2019-03-01 06:00:00,2019,237,1.0,45,0.001098579170938919
2019-03-03T14:00:00.000000000.nc,2019-03-03 14:00:00,2019-03-03 12:00:00,2019,246,2.0,0,0.0
2019-03-05T12:00:00.000000000.nc,2019-03-05 12:00:00,2019-03-05 12:00:00,2019,254,0.0,55,0.0013427078755920121
2019-03-05T13:00:00.000000000.nc,2019-03-05 13:00:00,2019-03-05 12:00:00,2019,254,1.0,29,0.00070797324349397
2019-03-08T23:00:00.000000000.nc,2019-03-08 23:00:00,2019-03-09 00:00:00,2019,268,1.0,0,0.0
2019-03-12T09:00:00.000000000.nc,2019-03-12 09:00:00,2019-03-12 06:00:00,2019,281,3.0,34,0.0008300375958205166
2019-03-13T05:00:00.000000000.nc,2019-03-13 05:00:00,2019-03-13 06:00:00,2019,285,1.0,33,0.0008056247253552072
2019-03-13T10:00:00.000000000.nc,2019-03-13 10:00:00,2019-03-13 12:00:00,2019,286,2.0,21,0.0005126702797714956
2019-03-15T13:00:00.000000000.nc,2019-03-15 13:00:00,2019-03-15 12:00:00,2019,294,1.0,44,0.0010741663004736096
2019-03-16T02:00:00.000000000.nc,2019-03-16 02:00:00,2019-03-16 00:00:00,2019,296,2.0,26,0.0006347346320980421
2019-03-19T05:00:00.000000000.nc,2019-03-19 05:00:00,2019-03-19 06:00:00,2019,309,1.0,34,0.0008300375958205166
