mask_file,mask_time,graphcast_time,year,t_idx,time_difference_hours,positive_nodes,positive_fraction,activation_file
2020-01-01T06:00:00.000000000.nc,2020-01-01 06:00:00,2020-01-01 06:00:00,2020,1,0.0,180,0.004394316683755676,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-01-01T06.npy
2020-01-01T17:00:00.000000000.nc,2020-01-01 17:00:00,2020-01-01 18:00:00,2020,3,1.0,34,0.0008300375958205166,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-01-01T18.npy
2020-01-05T12:00:00.000000000.nc,2020-01-05 12:00:00,2020-01-05 12:00:00,2020,18,0.0,0,0.0,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-01-05T12.npy
2020-01-05T20:00:00.000000000.nc,2020-01-05 20:00:00,2020-01-05 18:00:00,2020,19,2.0,50,0.0012206435232654655,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-01-05T18.npy
2020-01-06T14:00:00.000000000.nc,2020-01-06 14:00:00,2020-01-06 12:00:00,2020,22,2.0,27,0.0006591475025633514,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-01-06T12.npy
2020-01-08T15:00:00.000000000.nc,2020-01-08 15:00:00,2020-01-08 12:00:00,2020,30,3.0,41,0.0010009276890776818,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-01-08T12.npy
2020-01-11T04:00:00.000000000.nc,2020-01-11 04:00:00,2020-01-11 06:00:00,2020,41,2.0,15,0.00036619305697963966,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-01-11T06.npy
2020-01-15T14:00:00.000000000.nc,2020-01-15 14:00:00,2020-01-15 12:00:00,2020,58,2.0,62,0.0015135979688491773,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-01-15T12.npy
2020-01-16T01:00:00.000000000.nc,2020-01-16 01:00:00,2020-01-16 00:00:00,2020,60,1.0,0,0.0,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-01-16T00.npy
2020-01-16T21:00:00.000000000.nc,2020-01-16 21:00:00,2020-01-16 18:00:00,2020,63,3.0,136,0.0033201503832820663,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-01-16T18.npy
2020-01-18T11:00:00.000000000.nc,2020-01-18 11:00:00,2020-01-18 12:00:00,2020,70,1.0,74,0.001806552414432889,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-01-18T12.npy
2020-01-19T08:00:00.000000000.nc,2020-01-19 08:00:00,2020-01-19 06:00:00,2020,73,2.0,0,0.0,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-01-19T06.npy
2020-01-26T12:00:00.000000000.nc,2020-01-26 12:00:00,2020-01-26 12:00:00,2020,102,0.0,0,0.0,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-01-26T12.npy
2020-01-28T16:00:00.000000000.nc,2020-01-28 16:00:00,2020-01-28 18:00:00,2020,111,2.0,84,0.0020506811190859823,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-01-28T18.npy
2020-01-29T00:00:00.000000000.nc,2020-01-29 00:00:00,2020-01-29 00:00:00,2020,112,0.0,58,0.00141594648698794,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-01-29T00.npy
2020-01-29T05:00:00.000000000.nc,2020-01-29 05:00:00,2020-01-29 06:00:00,2020,113,1.0,111,0.0027098286216493336,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-01-29T06.npy
2020-01-30T07:00:00.000000000.nc,2020-01-30 07:00:00,2020-01-30 06:00:00,2020,117,1.0,0,0.0,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-01-30T06.npy
2020-01-30T12:00:00.000000000.nc,2020-01-30 12:00:00,2020-01-30 12:00:00,2020,118,0.0,0,0.0,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-01-30T12.npy
2020-03-01T14:00:00.000000000.nc,2020-03-01 14:00:00,2020-03-01 12:00:00,2020,125,2.0,72,0.0017577266735022705,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-03-01T12.npy
2020-03-03T12:00:00.000000000.nc,2020-03-03 12:00:00,2020-03-03 12:00:00,2020,133,0.0,0,0.0,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-03-03T12.npy
2020-03-06T23:00:00.000000000.nc,2020-03-06 23:00:00,2020-03-07 00:00:00,2020,147,1.0,0,0.0,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-03-07T00.npy
2020-03-08T11:00:00.000000000.nc,2020-03-08 11:00:00,2020-03-08 12:00:00,2020,153,1.0,0,0.0,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-03-08T12.npy
2020-03-11T10:00:00.000000000.nc,2020-03-11 10:00:00,2020-03-11 12:00:00,2020,165,2.0,0,0.0,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-03-11T12.npy
2020-03-11T14:00:00.000000000.nc,2020-03-11 14:00:00,2020-03-11 12:00:00,2020,165,2.0,0,0.0,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-03-11T12.npy
2020-03-12T02:00:00.000000000.nc,2020-03-12 02:00:00,2020-03-12 00:00:00,2020,167,2.0,0,0.0,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-03-12T00.npy
2020-03-14T02:00:00.000000000.nc,2020-03-14 02:00:00,2020-03-14 00:00:00,2020,175,2.0,32,0.000781211854889898,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-03-14T00.npy
2020-03-20T02:00:00.000000000.nc,2020-03-20 02:00:00,2020-03-20 00:00:00,2020,199,2.0,0,0.0,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-03-20T00.npy
2020-03-20T05:00:00.000000000.nc,2020-03-20 05:00:00,2020-03-20 06:00:00,2020,200,1.0,0,0.0,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-03-20T06.npy
2020-03-20T16:00:00.000000000.nc,2020-03-20 16:00:00,2020-03-20 18:00:00,2020,202,2.0,0,0.0,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-03-20T18.npy
2020-03-23T19:00:00.000000000.nc,2020-03-23 19:00:00,2020-03-23 18:00:00,2020,214,1.0,0,0.0,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-03-23T18.npy
2020-03-24T05:00:00.000000000.nc,2020-03-24 05:00:00,2020-03-24 06:00:00,2020,216,1.0,0,0.0,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-03-24T06.npy
2020-03-29T07:00:00.000000000.nc,2020-03-29 07:00:00,2020-03-29 06:00:00,2020,236,1.0,0,0.0,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-03-29T06.npy
2020-03-29T17:00:00.000000000.nc,2020-03-29 17:00:00,2020-03-29 18:00:00,2020,238,1.0,0,0.0,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-03-29T18.npy
2020-03-30T14:00:00.000000000.nc,2020-03-30 14:00:00,2020-03-30 12:00:00,2020,241,2.0,0,0.0,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-03-30T12.npy
2020-04-05T16:00:00.000000000.nc,2020-04-05 16:00:00,2020-04-05 18:00:00,2020,266,2.0,105,0.0025633513988574776,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-04-05T18.npy
2020-04-06T12:00:00.000000000.nc,2020-04-06 12:00:00,2020-04-06 12:00:00,2020,269,0.0,40,0.0009765148186123725,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-04-06T12.npy
2020-04-08T13:00:00.000000000.nc,2020-04-08 13:00:00,2020-04-08 12:00:00,2020,277,1.0,93,0.002270396953273766,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-04-08T12.npy
2020-04-09T10:00:00.000000000.nc,2020-04-09 10:00:00,2020-04-09 12:00:00,2020,281,2.0,41,0.0010009276890776818,/share/prj-4d/graphcast_shared/data/graphcast_activation_2020/layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2020-04-09T12.npy
