source,gamma,lead_hours,forecast_valid_time,global_mean_ivt,file
GraphCast,-1.0,6.0,2021-02-13 00:00:00,155.9021866576236,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/PCA_200/pertubation_threshold_0.9/2021-02-12T18/data/gamma_-1.0.nc
GraphCast,-1.0,12.0,2021-02-13 06:00:00,154.7177141621561,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/PCA_200/pertubation_threshold_0.9/2021-02-12T18/data/gamma_-1.0.nc
GraphCast,-1.0,18.0,2021-02-13 12:00:00,152.5162667227331,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/PCA_200/pertubation_threshold_0.9/2021-02-12T18/data/gamma_-1.0.nc
GraphCast,-1.0,24.0,2021-02-13 18:00:00,150.4068211323135,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/PCA_200/pertubation_threshold_0.9/2021-02-12T18/data/gamma_-1.0.nc
GraphCast,-1.0,30.0,2021-02-14 00:00:00,148.9007172612679,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/PCA_200/pertubation_threshold_0.9/2021-02-12T18/data/gamma_-1.0.nc
GraphCast,-1.0,36.0,2021-02-14 06:00:00,149.41054909498243,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/PCA_200/pertubation_threshold_0.9/2021-02-12T18/data/gamma_-1.0.nc
GraphCast,-1.0,42.0,2021-02-14 12:00:00,149.4784558770772,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/PCA_200/pertubation_threshold_0.9/2021-02-12T18/data/gamma_-1.0.nc
GraphCast,-1.0,48.0,2021-02-14 18:00:00,150.34213696288606,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/PCA_200/pertubation_threshold_0.9/2021-02-12T18/data/gamma_-1.0.nc
GraphCast,-1.0,54.0,2021-02-15 00:00:00,151.33665154608514,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/PCA_200/pertubation_threshold_0.9/2021-02-12T18/data/gamma_-1.0.nc
GraphCast,-1.0,60.0,2021-02-15 06:00:00,152.97662801928996,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/PCA_200/pertubation_threshold_0.9/2021-02-12T18/data/gamma_-1.0.nc
GraphCast,-1.0,66.0,2021-02-15 12:00:00,153.18530284338985,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/PCA_200/pertubation_threshold_0.9/2021-02-12T18/data/gamma_-1.0.nc
GraphCast,-1.0,72.0,2021-02-15 18:00:00,153.18424963269598,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/PCA_200/pertubation_threshold_0.9/2021-02-12T18/data/gamma_-1.0.nc
GraphCast,-1.0,78.0,2021-02-16 00:00:00,152.1197314729733,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/PCA_200/pertubation_threshold_0.9/2021-02-12T18/data/gamma_-1.0.nc
GraphCast,-1.0,84.0,2021-02-16 06:00:00,151.90452843151752,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/PCA_200/pertubation_threshold_0.9/2021-02-12T18/data/gamma_-1.0.nc
GraphCast,-1.0,90.0,2021-02-16 12:00:00,151.60112846441223,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/PCA_200/pertubation_threshold_0.9/2021-02-12T18/data/gamma_-1.0.nc
GraphCast,-1.0,96.0,2021-02-16 18:00:00,152.04191835131655,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/PCA_200/pertubation_threshold_0.9/2021-02-12T18/data/gamma_-1.0.nc
GraphCast,-1.0,102.0,2021-02-17 00:00:00,152.06980872216772,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/PCA_200/pertubation_threshold_0.9/2021-02-12T18/data/gamma_-1.0.nc
GraphCast,-1.0,108.0,2021-02-17 06:00:00,153.8786392293309,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/PCA_200/pertubation_threshold_0.9/2021-02-12T18/data/gamma_-1.0.nc
