pc_name,pc_index,val_r2,model_type,alpha,top1_variable,top1_score,top2_variable,top2_score,top3_variable,top3_score
PC_1,1,0.6278787851333618,Linear,None,land_sea_mask,0.22236700356006622,geopotential_at_surface,0.2038479745388031,longitude_cos,0.10506542026996613
PC_2,2,0.6564003825187683,Linear,None,specific_humidity_lev26,0.1056295707821846,specific_humidity_lev27,0.10359449684619904,land_sea_mask,0.10311170667409897
PC_3,3,0.4726870059967041,Linear,None,latitude_sin,0.06170523911714554,latitude,0.05808381736278534,specific_humidity_lev06,0.047223594039678574
PC_4,4,0.2876468300819397,Linear,None,latitude,0.09148015826940536,latitude_sin,0.0901973694562912,specific_humidity_lev07,0.08020012080669403
PC_5,5,0.23892754316329956,Linear,None,latitude_sin,0.10288871824741364,latitude,0.10224390774965286,specific_humidity_lev03,0.062003426253795624
PC_6,6,0.10927677154541016,Linear,None,mean_sea_level_pressure,0.0277834665030241,geopotential_lev36,0.026498589664697647,geopotential_lev35,0.02544081211090088
PC_7,7,0.15580999851226807,Linear,None,land_sea_mask,0.04633554816246033,local_time_cos,0.03950734809041023,latitude_sin,0.0381452739238739
PC_8,8,0.09870070219039917,Linear,None,geopotential_at_surface,0.033854689449071884,land_sea_mask,0.03320913389325142,specific_humidity_lev25,0.027749454602599144
PC_9,9,0.22478973865509033,Linear,None,10m_v_component_of_wind,0.0370960533618927,u_component_of_wind_lev32,0.037016578018665314,u_component_of_wind_lev33,0.037010807543992996
PC_10,10,0.38431280851364136,Linear,None,10m_v_component_of_wind,0.046955108642578125,v_component_of_wind_lev35,0.0466492623090744,v_component_of_wind_lev36,0.046568069607019424
PC_11,11,0.16095328330993652,Linear,None,year_progress_cos,0.026262760162353516,year_progress_sin,0.02455902472138405,geopotential_at_surface,0.023385634645819664
PC_12,12,0.3370145559310913,Linear,None,specific_humidity_lev18,0.05282319337129593,specific_humidity_lev17,0.052337393164634705,specific_humidity_lev19,0.049810342490673065
PC_13,13,0.18377655744552612,Linear,None,geopotential_at_surface,0.05562688037753105,land_sea_mask,0.051691651344299316,u_component_of_wind_lev36,0.04713067412376404
PC_14,14,0.149497389793396,Linear,None,specific_humidity_lev18,0.04082917049527168,specific_humidity_lev17,0.04062523692846298,specific_humidity_lev08,0.0390290692448616
PC_15,15,0.11104875802993774,Linear,None,geopotential_at_surface,0.05088437348604202,land_sea_mask,0.0468970350921154,longitude_cos,0.03617296367883682
PC_16,16,0.07271748781204224,Linear,None,geopotential_at_surface,0.03635503351688385,land_sea_mask,0.035640668123960495,specific_humidity_lev08,0.034283243119716644
PC_17,17,0.17269164323806763,Linear,None,specific_humidity_lev18,0.04553259536623955,year_progress_cos,0.0452117994427681,specific_humidity_lev17,0.04490170255303383
PC_18,18,0.17620110511779785,Linear,None,geopotential_at_surface,0.05797722563147545,specific_humidity_lev07,0.05093240737915039,specific_humidity_lev08,0.049939416348934174
PC_19,19,0.13453024625778198,Linear,None,u_component_of_wind_lev15,0.04334661737084389,u_component_of_wind_lev14,0.04310771822929382,u_component_of_wind_lev16,0.042893290519714355
PC_20,20,0.06225430965423584,Linear,None,specific_humidity_lev17,0.028528710827231407,specific_humidity_lev16,0.028522389009594917,specific_humidity_lev15,0.027766922488808632
PC_21,21,0.22835314273834229,Linear,None,land_sea_mask,0.07309693843126297,geopotential_at_surface,0.07087612897157669,specific_humidity_lev27,0.05536021664738655
PC_22,22,0.09765911102294922,Linear,None,latitude_sin,0.03022075816988945,latitude,0.029268262907862663,u_component_of_wind_lev18,0.02815198339521885
PC_23,23,0.19829624891281128,Linear,None,specific_humidity_lev08,0.04123009368777275,specific_humidity_lev07,0.03762729465961456,v_component_of_wind_lev18,0.03328530490398407
