feature,label,category,score
geopotential_at_surface,Surface geopotential,Static/context,0.12767353
position_context,Position context,Static/context,0.1469507
land_sea_mask,Land-sea mask,Static/context,0.1395253
local_time_context,Local time context,Static/context,0.097202364
2m_temperature,2m temperature,Surface/single-level,0.15057627
10m_u_component_of_wind,10m U wind,Surface/single-level,0.15238
10m_v_component_of_wind,10m V wind,Surface/single-level,0.11540102
mean_sea_level_pressure,Mean sea-level pressure,Surface/single-level,0.13447219
total_precipitation_6hr,Total precipitation 6h,Surface/single-level,0.064764535
toa_incident_solar_radiation,TOA solar radiation,Surface/single-level,0.089466114
geopotential_lev08,Geopotential 50 hPa,Geopotential,0.13478243
geopotential_lev10,Geopotential 100 hPa,Geopotential,0.14177823
geopotential_lev12,Geopotential 150 hPa,Geopotential,0.1425856
geopotential_lev14,Geopotential 200 hPa,Geopotential,0.14333294
geopotential_lev16,Geopotential 250 hPa,Geopotential,0.14383776
geopotential_lev17,Geopotential 300 hPa,Geopotential,0.14407029
geopotential_lev19,Geopotential 400 hPa,Geopotential,0.14383036
geopotential_lev21,Geopotential 500 hPa,Geopotential,0.14281784
geopotential_lev23,Geopotential 600 hPa,Geopotential,0.14147113
geopotential_lev25,Geopotential 700 hPa,Geopotential,0.14053098
geopotential_lev30,Geopotential 850 hPa,Geopotential,0.13991201
geopotential_lev33,Geopotential 925 hPa,Geopotential,0.13916103
geopotential_lev36,Geopotential 1000 hPa,Geopotential,0.13587863
temperature_lev08,Temperature 50 hPa,Temperature,0.12237999
temperature_lev10,Temperature 100 hPa,Temperature,0.14172485
temperature_lev12,Temperature 150 hPa,Temperature,0.1336294
temperature_lev14,Temperature 200 hPa,Temperature,0.099687693
temperature_lev16,Temperature 250 hPa,Temperature,0.1307574
temperature_lev17,Temperature 300 hPa,Temperature,0.14019624
temperature_lev19,Temperature 400 hPa,Temperature,0.14525043
temperature_lev21,Temperature 500 hPa,Temperature,0.14749937
temperature_lev23,Temperature 600 hPa,Temperature,0.14682549
temperature_lev25,Temperature 700 hPa,Temperature,0.14354742
temperature_lev30,Temperature 850 hPa,Temperature,0.13683842
temperature_lev33,Temperature 925 hPa,Temperature,0.14328122
temperature_lev36,Temperature 1000 hPa,Temperature,0.1483833
specific_humidity_lev08,Specific humidity 50 hPa,Specific humidity,0.12325048
specific_humidity_lev10,Specific humidity 100 hPa,Specific humidity,0.098228029
specific_humidity_lev12,Specific humidity 150 hPa,Specific humidity,0.12395948
specific_humidity_lev14,Specific humidity 200 hPa,Specific humidity,0.12636677
specific_humidity_lev16,Specific humidity 250 hPa,Specific humidity,0.12346857
specific_humidity_lev17,Specific humidity 300 hPa,Specific humidity,0.12314195
specific_humidity_lev19,Specific humidity 400 hPa,Specific humidity,0.13322823
specific_humidity_lev21,Specific humidity 500 hPa,Specific humidity,0.13308232
specific_humidity_lev23,Specific humidity 600 hPa,Specific humidity,0.13460059
specific_humidity_lev25,Specific humidity 700 hPa,Specific humidity,0.14023936
