feature,label,category,score
geopotential_at_surface,Surface geopotential,Static/context,0.025681257
position_context,Position context,Static/context,0.12067758
land_sea_mask,Land-sea mask,Static/context,0.076782507
local_time_context,Local time context,Static/context,0.09090142
2m_temperature,2m temperature,Surface/single-level,0.23619999
10m_u_component_of_wind,10m U wind,Surface/single-level,0.042856976
10m_v_component_of_wind,10m V wind,Surface/single-level,0.099501735
mean_sea_level_pressure,Mean sea-level pressure,Surface/single-level,0.093275432
total_precipitation_6hr,Total precipitation 6h,Surface/single-level,0.05447298
toa_incident_solar_radiation,TOA solar radiation,Surface/single-level,0.13181567
geopotential_lev08,Geopotential 50 hPa,Geopotential,0.21484812
geopotential_lev10,Geopotential 100 hPa,Geopotential,0.17270754
geopotential_lev12,Geopotential 150 hPa,Geopotential,0.14803453
geopotential_lev14,Geopotential 200 hPa,Geopotential,0.14121836
geopotential_lev16,Geopotential 250 hPa,Geopotential,0.14242253
geopotential_lev17,Geopotential 300 hPa,Geopotential,0.14434766
geopotential_lev19,Geopotential 400 hPa,Geopotential,0.14660417
geopotential_lev21,Geopotential 500 hPa,Geopotential,0.14760857
geopotential_lev23,Geopotential 600 hPa,Geopotential,0.1485134
geopotential_lev25,Geopotential 700 hPa,Geopotential,0.14836004
geopotential_lev30,Geopotential 850 hPa,Geopotential,0.12538745
geopotential_lev33,Geopotential 925 hPa,Geopotential,0.10918321
geopotential_lev36,Geopotential 1000 hPa,Geopotential,0.094527495
temperature_lev08,Temperature 50 hPa,Temperature,0.099531731
temperature_lev10,Temperature 100 hPa,Temperature,0.052776793
temperature_lev12,Temperature 150 hPa,Temperature,0.063726514
temperature_lev14,Temperature 200 hPa,Temperature,0.077713237
temperature_lev16,Temperature 250 hPa,Temperature,0.097102684
temperature_lev17,Temperature 300 hPa,Temperature,0.1192076
temperature_lev19,Temperature 400 hPa,Temperature,0.13465364
temperature_lev21,Temperature 500 hPa,Temperature,0.13779927
temperature_lev23,Temperature 600 hPa,Temperature,0.13667616
temperature_lev25,Temperature 700 hPa,Temperature,0.1445445
temperature_lev30,Temperature 850 hPa,Temperature,0.2165276
temperature_lev33,Temperature 925 hPa,Temperature,0.23795052
temperature_lev36,Temperature 1000 hPa,Temperature,0.25259398
specific_humidity_lev08,Specific humidity 50 hPa,Specific humidity,0.12845849
specific_humidity_lev10,Specific humidity 100 hPa,Specific humidity,0.078558629
specific_humidity_lev12,Specific humidity 150 hPa,Specific humidity,0.046051173
specific_humidity_lev14,Specific humidity 200 hPa,Specific humidity,0.054611798
specific_humidity_lev16,Specific humidity 250 hPa,Specific humidity,0.061902012
specific_humidity_lev17,Specific humidity 300 hPa,Specific humidity,0.074467303
specific_humidity_lev19,Specific humidity 400 hPa,Specific humidity,0.10335301
specific_humidity_lev21,Specific humidity 500 hPa,Specific humidity,0.096655599
specific_humidity_lev23,Specific humidity 600 hPa,Specific humidity,0.064248828
specific_humidity_lev25,Specific humidity 700 hPa,Specific humidity,0.066803261
specific_humidity_lev30,Specific humidity 850 hPa,Specific humidity,0.10751563
specific_humidity_lev33,Specific humidity 925 hPa,Specific humidity,0.10619303
specific_humidity_lev36,Specific humidity 1000 hPa,Specific humidity,0.086229186
u_component_of_wind_lev08,U wind 50 hPa,U wind,0.09130571
u_component_of_wind_lev10,U wind 100 hPa,U wind,0.043256235
u_component_of_wind_lev12,U wind 150 hPa,U wind,0.049526826
u_component_of_wind_lev14,U wind 200 hPa,U wind,0.045226991
u_component_of_wind_lev16,U wind 250 hPa,U wind,0.04122326
u_component_of_wind_lev17,U wind 300 hPa,U wind,0.039094197
u_component_of_wind_lev19,U wind 400 hPa,U wind,0.037583439
