target,n_features,alpha,r2_test,rmse_test,corr_test,n_train,n_test,n_selected
2t,5,1.0,0.37872618436813354,12.010177111435404,0.6159846134570945,13795974,14891868,5
2t,10,1.0,0.49179404973983765,10.86244933157145,0.7017973591243586,13795974,14891868,10
2t,25,1.0,0.6555608510971069,8.942607140713749,0.8098514111762444,13795974,14891868,25
2t,50,1.0,0.7525522708892822,7.579657897073583,0.8679060178188865,13795974,14891868,50
2t,100,1.0,0.7992923259735107,6.826371096431208,0.8943777898143086,13795974,14891868,100
2t,200,1.0,0.8331186771392822,6.224604778689078,0.9130717769397984,13795974,14891868,200
2t,400,1.0,0.8585765957832336,5.730183163256883,0.9267889392879348,13795974,14891868,400
10u,5,1.0,0.23831897974014282,4.794264291085071,0.48832187276193667,13795974,14891868,5
10u,10,1.0,0.47016453742980957,3.99858127706679,0.685796066880935,13795974,14891868,10
10u,25,1.0,0.6283227205276489,3.3490252371947986,0.7927050796796337,13795974,14891868,25
10u,50,1.0,0.6640684604644775,3.183910218405919,0.8149347764420416,13795974,14891868,50
10u,100,1.0,0.7155501842498779,2.9298015928304855,0.8459267656532596,13795974,14891868,100
10u,200,1.0,0.7783629298210144,2.5861674318919894,0.8822645870728083,13795974,14891868,200
10u,400,1.0,0.8098002672195435,2.395743879776758,0.8998987162455446,13795974,14891868,400
10v,5,1.0,0.03546351194381714,4.384038036445952,0.18871567328068187,13795974,14891868,5
10v,10,1.0,0.39840269088745117,3.462325736938538,0.6312331940630613,13795974,14891868,10
10v,25,1.0,0.5007377862930298,3.1541280128465523,0.707666133255322,13795974,14891868,25
10v,50,1.0,0.5314426422119141,3.055598832796895,0.7290357927173569,13795974,14891868,50
10v,100,1.0,0.5738946795463562,2.9138919892934525,0.7576087759303374,13795974,14891868,100
10v,200,1.0,0.6617022752761841,2.5963577581678603,0.813457182861758,13795974,14891868,200
10v,400,1.0,0.7233588695526123,2.347866359962676,0.8505100478468515,13795974,14891868,400
msl,5,1.0,0.19197076559066772,1057.2931830859404,0.4386533066101799,13795974,14891868,5
msl,10,1.0,0.3510357737541199,947.5284626331812,0.5927430747515868,13795974,14891868,10
msl,25,1.0,0.48465973138809204,844.3624814023892,0.6963530562430768,13795974,14891868,25
