target,n_pcs,r2_test,rmse_test,corr_test,n_train,n_test
z500,5,0.4678434133529663,2054.164793778727,0.6850359965948171,2797704,924882
z500,10,0.5157870054244995,1959.4480728000933,0.7186751863933082,2797704,924882
z500,25,0.6284219026565552,1716.4872559969679,0.7927529963413775,2797704,924882
z500,50,0.7734392881393433,1340.3180126372995,0.8801566392294083,2797704,924882
z500,100,0.8047915697097778,1244.1273548154145,0.8975183339833152,2797704,924882
z500,200,0.8395364284515381,1127.9861479645926,0.9164454409532833,2797704,924882
z500,400,0.8667398691177368,1027.9349444395789,0.9310066162502474,2797704,924882
t850,5,0.5166805982589722,8.37678030649143,0.7203974446442376,2797704,924882
t850,10,0.5277628898620605,8.280185386314626,0.7278218267594097,2797704,924882
t850,25,0.6411493420600891,7.218000364807238,0.8009211179319515,2797704,924882
t850,50,0.7595369219779968,5.908595028324435,0.872466411338943,2797704,924882
t850,100,0.7953603267669678,5.450733611401847,0.8926197569827843,2797704,924882
t850,200,0.8291071653366089,4.9810623114440435,0.911054144506683,2797704,924882
t850,400,0.8574855327606201,4.548723087760561,0.926306891762353,2797704,924882
q850,5,0.5257152318954468,0.0029112521743126004,0.7261284254489452,2797704,924882
q850,10,0.5567448139190674,0.002814408761732247,0.7477537186435345,2797704,924882
q850,25,0.6662157773971558,0.002442267199047917,0.8166955543533296,2797704,924882
q850,50,0.753154456615448,0.002100259237955693,0.8679203228821586,2797704,924882
q850,100,0.7914054989814758,0.0019306860370879612,0.889629473208138,2797704,924882
q850,200,0.8244103193283081,0.001771371744717912,0.9079728351949005,2797704,924882
q850,400,0.8562049865722656,0.0016029948300170134,0.9254143339693364,2797704,924882
u850,5,0.27468782663345337,7.070380481372073,0.524544030882173,2797704,924882
u850,10,0.5111122131347656,5.804768331999443,0.7150003122537615,2797704,924882
u850,25,0.6460825204849243,4.938912298325589,0.8038028453233098,2797704,924882
u850,50,0.6837582588195801,4.668634522017213,0.8269066340474562,2797704,924882
u850,100,0.7324485778808594,4.294216373885586,0.85585691514985,2797704,924882
u850,200,0.7822852730751038,3.8736839520712927,0.8845754416790891,2797704,924882
u850,400,0.8167775869369507,3.553608556637001,0.9037604045581081,2797704,924882
v850,5,0.005946695804595947,5.792533132748931,0.08795113775748345,2797704,924882
v850,10,0.11068934202194214,5.478863068305342,0.3385363060738559,2797704,924882
v850,25,0.3858042359352112,4.553203779493377,0.6215790117477457,2797704,924882
v850,50,0.43550944328308105,4.3650781658991145,0.660676288507436,2797704,924882
v850,100,0.4910602569580078,4.144735807643369,0.7018798240933389,2797704,924882
v850,200,0.5817865133285522,3.757185980897958,0.7634182265131633,2797704,924882
v850,400,0.6523828506469727,3.4254236502267448,0.8080947521671279,2797704,924882
msl,5,0.22096896171569824,1080.7757630517071,0.47471106758925263,2797704,924882
msl,10,0.4145221710205078,936.9435348514872,0.647599298900612,2797704,924882
msl,25,0.5108882188796997,856.3715972053253,0.7160534411947128,2797704,924882
msl,50,0.6469242572784424,727.5990482401692,0.805376305049338,2797704,924882
msl,100,0.7145518064498901,654.2170893518451,0.8457349380635497,2797704,924882
msl,200,0.7736091613769531,582.6229752163915,0.8796787030755121,2797704,924882
msl,400,0.8060322403907776,539.2907668874,0.8979371308683456,2797704,924882
2t,5,0.5192588567733765,10.434954852603767,0.7219173413935263,2797704,924882
2t,10,0.5444340705871582,10.158055728898432,0.73888636610954,2797704,924882
2t,25,0.6596750617027283,8.779743757744878,0.8123591787584855,2797704,924882
2t,50,0.774914562702179,7.140171428941183,0.881151199696838,2797704,924882
2t,100,0.8092759847640991,6.572606905143576,0.9002257094156333,2797704,924882
2t,200,0.8324906229972839,6.159628313914418,0.9128204190669782,2797704,924882
2t,400,0.8599561452865601,5.632056832384419,0.9276758031211781,2797704,924882
