mask_file,mask_time,graphcast_time,year,t_idx,time_difference_hours,positive_nodes,positive_fraction
2020-01-01T06:00:00.000000000.nc,2020-01-01 06:00:00,2020-01-01 06:00:00,2020,1,0.0,825,0.02014061813388018
2020-01-01T17:00:00.000000000.nc,2020-01-01 17:00:00,2020-01-01 18:00:00,2020,3,1.0,1988,0.04853278648503491
2020-01-05T12:00:00.000000000.nc,2020-01-05 12:00:00,2020-01-05 12:00:00,2020,18,0.0,2985,0.0728724183389483
2020-01-05T20:00:00.000000000.nc,2020-01-05 20:00:00,2020-01-05 18:00:00,2020,19,2.0,2160,0.05273180020506811
2020-01-06T14:00:00.000000000.nc,2020-01-06 14:00:00,2020-01-06 12:00:00,2020,22,2.0,1320,0.03222498901420829
2020-01-08T15:00:00.000000000.nc,2020-01-08 15:00:00,2020-01-08 12:00:00,2020,30,3.0,1734,0.04233191738684634
2020-01-11T04:00:00.000000000.nc,2020-01-11 04:00:00,2020-01-11 06:00:00,2020,41,2.0,2142,0.05229236853669254
2020-01-15T14:00:00.000000000.nc,2020-01-15 14:00:00,2020-01-15 12:00:00,2020,58,2.0,2153,0.052560910111810945
2020-01-16T01:00:00.000000000.nc,2020-01-16 01:00:00,2020-01-16 00:00:00,2020,60,1.0,2030,0.049558127044577904
2020-01-18T11:00:00.000000000.nc,2020-01-18 11:00:00,2020-01-18 12:00:00,2020,70,1.0,1520,0.037107563107270154
2020-01-19T08:00:00.000000000.nc,2020-01-19 08:00:00,2020-01-19 06:00:00,2020,73,2.0,1569,0.03830379376007031
2020-01-26T12:00:00.000000000.nc,2020-01-26 12:00:00,2020-01-26 12:00:00,2020,102,0.0,920,0.022459840828084564
2020-01-28T16:00:00.000000000.nc,2020-01-28 16:00:00,2020-01-28 18:00:00,2020,111,2.0,1137,0.027757433719056687
2020-01-29T00:00:00.000000000.nc,2020-01-29 00:00:00,2020-01-29 00:00:00,2020,112,0.0,1527,0.03727845320052732
2020-01-29T05:00:00.000000000.nc,2020-01-29 05:00:00,2020-01-29 06:00:00,2020,113,1.0,2172,0.053024754650651824
2020-01-30T07:00:00.000000000.nc,2020-01-30 07:00:00,2020-01-30 06:00:00,2020,117,1.0,1183,0.028880425760460914
2020-01-30T12:00:00.000000000.nc,2020-01-30 12:00:00,2020-01-30 12:00:00,2020,118,0.0,1879,0.045871783604316194
2020-03-01T14:00:00.000000000.nc,2020-03-01 14:00:00,2020-03-01 12:00:00,2020,125,2.0,2216,0.05409892095112543
2020-03-03T12:00:00.000000000.nc,2020-03-03 12:00:00,2020-03-03 12:00:00,2020,133,0.0,1504,0.036716957179825205
2020-03-06T23:00:00.000000000.nc,2020-03-06 23:00:00,2020-03-07 00:00:00,2020,147,1.0,1259,0.030735803915824422
2020-03-08T11:00:00.000000000.nc,2020-03-08 11:00:00,2020-03-08 12:00:00,2020,153,1.0,1309,0.03195644743908989
