mask_file,mask_time,graphcast_time,year,t_idx,time_difference_hours,positive_nodes,positive_fraction
2020-01-01T06:00:00.000000000.nc,2020-01-01 06:00:00,2020-01-01 06:00:00,2020,1,0.0,180,0.004394316683755676
2020-01-01T17:00:00.000000000.nc,2020-01-01 17:00:00,2020-01-01 18:00:00,2020,3,1.0,34,0.0008300375958205166
2020-01-05T12:00:00.000000000.nc,2020-01-05 12:00:00,2020-01-05 12:00:00,2020,18,0.0,0,0.0
2020-01-05T20:00:00.000000000.nc,2020-01-05 20:00:00,2020-01-05 18:00:00,2020,19,2.0,50,0.0012206435232654655
2020-01-06T14:00:00.000000000.nc,2020-01-06 14:00:00,2020-01-06 12:00:00,2020,22,2.0,27,0.0006591475025633514
2020-01-08T15:00:00.000000000.nc,2020-01-08 15:00:00,2020-01-08 12:00:00,2020,30,3.0,41,0.0010009276890776818
2020-01-11T04:00:00.000000000.nc,2020-01-11 04:00:00,2020-01-11 06:00:00,2020,41,2.0,15,0.00036619305697963966
2020-01-15T14:00:00.000000000.nc,2020-01-15 14:00:00,2020-01-15 12:00:00,2020,58,2.0,62,0.0015135979688491773
2020-01-16T01:00:00.000000000.nc,2020-01-16 01:00:00,2020-01-16 00:00:00,2020,60,1.0,0,0.0
2020-01-16T21:00:00.000000000.nc,2020-01-16 21:00:00,2020-01-16 18:00:00,2020,63,3.0,136,0.0033201503832820663
2020-01-18T11:00:00.000000000.nc,2020-01-18 11:00:00,2020-01-18 12:00:00,2020,70,1.0,74,0.001806552414432889
2020-01-19T08:00:00.000000000.nc,2020-01-19 08:00:00,2020-01-19 06:00:00,2020,73,2.0,0,0.0
2020-01-26T12:00:00.000000000.nc,2020-01-26 12:00:00,2020-01-26 12:00:00,2020,102,0.0,0,0.0
2020-01-28T16:00:00.000000000.nc,2020-01-28 16:00:00,2020-01-28 18:00:00,2020,111,2.0,84,0.0020506811190859823
2020-01-29T00:00:00.000000000.nc,2020-01-29 00:00:00,2020-01-29 00:00:00,2020,112,0.0,58,0.00141594648698794
2020-01-29T05:00:00.000000000.nc,2020-01-29 05:00:00,2020-01-29 06:00:00,2020,113,1.0,111,0.0027098286216493336
2020-01-30T07:00:00.000000000.nc,2020-01-30 07:00:00,2020-01-30 06:00:00,2020,117,1.0,0,0.0
2020-01-30T12:00:00.000000000.nc,2020-01-30 12:00:00,2020-01-30 12:00:00,2020,118,0.0,0,0.0
2020-03-01T14:00:00.000000000.nc,2020-03-01 14:00:00,2020-03-01 12:00:00,2020,125,2.0,72,0.0017577266735022705
2020-03-03T12:00:00.000000000.nc,2020-03-03 12:00:00,2020-03-03 12:00:00,2020,133,0.0,0,0.0
2020-03-06T23:00:00.000000000.nc,2020-03-06 23:00:00,2020-03-07 00:00:00,2020,147,1.0,0,0.0
2020-03-08T11:00:00.000000000.nc,2020-03-08 11:00:00,2020-03-08 12:00:00,2020,153,1.0,0,0.0
2020-03-11T10:00:00.000000000.nc,2020-03-11 10:00:00,2020-03-11 12:00:00,2020,165,2.0,0,0.0
2020-03-11T14:00:00.000000000.nc,2020-03-11 14:00:00,2020-03-11 12:00:00,2020,165,2.0,0,0.0
2020-03-12T02:00:00.000000000.nc,2020-03-12 02:00:00,2020-03-12 00:00:00,2020,167,2.0,0,0.0
2020-03-14T02:00:00.000000000.nc,2020-03-14 02:00:00,2020-03-14 00:00:00,2020,175,2.0,32,0.000781211854889898
2020-03-20T02:00:00.000000000.nc,2020-03-20 02:00:00,2020-03-20 00:00:00,2020,199,2.0,0,0.0
2020-03-20T05:00:00.000000000.nc,2020-03-20 05:00:00,2020-03-20 06:00:00,2020,200,1.0,0,0.0
2020-03-20T16:00:00.000000000.nc,2020-03-20 16:00:00,2020-03-20 18:00:00,2020,202,2.0,0,0.0
2020-03-23T19:00:00.000000000.nc,2020-03-23 19:00:00,2020-03-23 18:00:00,2020,214,1.0,0,0.0
2020-03-24T05:00:00.000000000.nc,2020-03-24 05:00:00,2020-03-24 06:00:00,2020,216,1.0,0,0.0
2020-03-29T07:00:00.000000000.nc,2020-03-29 07:00:00,2020-03-29 06:00:00,2020,236,1.0,0,0.0
2020-03-29T17:00:00.000000000.nc,2020-03-29 17:00:00,2020-03-29 18:00:00,2020,238,1.0,0,0.0
2020-03-30T14:00:00.000000000.nc,2020-03-30 14:00:00,2020-03-30 12:00:00,2020,241,2.0,0,0.0
2020-04-05T16:00:00.000000000.nc,2020-04-05 16:00:00,2020-04-05 18:00:00,2020,266,2.0,105,0.0025633513988574776
2020-04-06T12:00:00.000000000.nc,2020-04-06 12:00:00,2020-04-06 12:00:00,2020,269,0.0,40,0.0009765148186123725
2020-04-08T13:00:00.000000000.nc,2020-04-08 13:00:00,2020-04-08 12:00:00,2020,277,1.0,93,0.002270396953273766
2020-04-09T10:00:00.000000000.nc,2020-04-09 10:00:00,2020-04-09 12:00:00,2020,281,2.0,41,0.0010009276890776818
2020-04-10T21:00:00.000000000.nc,2020-04-10 21:00:00,2020-04-10 18:00:00,2020,286,3.0,0,0.0
2020-04-12T08:00:00.000000000.nc,2020-04-12 08:00:00,2020-04-12 06:00:00,2020,292,2.0,0,0.0
2020-04-17T02:00:00.000000000.nc,2020-04-17 02:00:00,2020-04-17 00:00:00,2020,311,2.0,0,0.0
2020-04-17T23:00:00.000000000.nc,2020-04-17 23:00:00,2020-04-18 00:00:00,2020,315,1.0,0,0.0
2020-04-18T09:00:00.000000000.nc,2020-04-18 09:00:00,2020-04-18 06:00:00,2020,316,3.0,0,0.0
2020-04-19T19:00:00.000000000.nc,2020-04-19 19:00:00,2020-04-19 18:00:00,2020,322,1.0,0,0.0
2020-04-21T06:00:00.000000000.nc,2020-04-21 06:00:00,2020-04-21 06:00:00,2020,328,0.0,0,0.0
2020-04-23T03:00:00.000000000.nc,2020-04-23 03:00:00,2020-04-23 00:00:00,2020,335,3.0,0,0.0
2020-04-24T16:00:00.000000000.nc,2020-04-24 16:00:00,2020-04-24 18:00:00,2020,342,2.0,0,0.0
2020-04-24T18:00:00.000000000.nc,2020-04-24 18:00:00,2020-04-24 18:00:00,2020,342,0.0,0,0.0
2020-04-26T10:00:00.000000000.nc,2020-04-26 10:00:00,2020-04-26 12:00:00,2020,349,2.0,0,0.0
2020-04-27T03:00:00.000000000.nc,2020-04-27 03:00:00,2020-04-27 00:00:00,2020,351,3.0,0,0.0
2020-04-29T06:00:00.000000000.nc,2020-04-29 06:00:00,2020-04-29 06:00:00,2020,360,0.0,0,0.0
2020-04-29T08:00:00.000000000.nc,2020-04-29 08:00:00,2020-04-29 06:00:00,2020,360,2.0,0,0.0
2020-04-30T19:00:00.000000000.nc,2020-04-30 19:00:00,2020-04-30 18:00:00,2020,366,1.0,0,0.0
2020-05-01T05:00:00.000000000.nc,2020-05-01 05:00:00,2020-05-01 06:00:00,2020,368,1.0,0,0.0
2020-05-02T20:00:00.000000000.nc,2020-05-02 20:00:00,2020-05-02 18:00:00,2020,374,2.0,0,0.0
2020-05-04T00:00:00.000000000.nc,2020-05-04 00:00:00,2020-05-04 00:00:00,2020,379,0.0,0,0.0
2020-05-04T13:00:00.000000000.nc,2020-05-04 13:00:00,2020-05-04 12:00:00,2020,381,1.0,29,0.00070797324349397
2020-05-06T00:00:00.000000000.nc,2020-05-06 00:00:00,2020-05-06 00:00:00,2020,387,0.0,0,0.0
2020-05-09T14:00:00.000000000.nc,2020-05-09 14:00:00,2020-05-09 12:00:00,2020,401,2.0,0,0.0
2020-05-10T23:00:00.000000000.nc,2020-05-10 23:00:00,2020-05-11 00:00:00,2020,407,1.0,0,0.0
2020-05-13T19:00:00.000000000.nc,2020-05-13 19:00:00,2020-05-13 18:00:00,2020,418,1.0,0,0.0
2020-05-15T22:00:00.000000000.nc,2020-05-15 22:00:00,2020-05-16 00:00:00,2020,427,2.0,73,0.0017821395439675796
2020-05-16T00:00:00.000000000.nc,2020-05-16 00:00:00,2020-05-16 00:00:00,2020,427,0.0,13,0.00031736731604902103
2020-05-17T03:00:00.000000000.nc,2020-05-17 03:00:00,2020-05-17 00:00:00,2020,431,3.0,79,0.0019286167667594356
2020-05-17T08:00:00.000000000.nc,2020-05-17 08:00:00,2020-05-17 06:00:00,2020,432,2.0,94,0.0022948098237390753
2020-05-17T12:00:00.000000000.nc,2020-05-17 12:00:00,2020-05-17 12:00:00,2020,433,0.0,81,0.0019774425076900543
2020-05-18T11:00:00.000000000.nc,2020-05-18 11:00:00,2020-05-18 12:00:00,2020,437,1.0,101,0.0024656999169962402
2020-05-22T10:00:00.000000000.nc,2020-05-22 10:00:00,2020-05-22 12:00:00,2020,453,2.0,0,0.0
2020-05-28T19:00:00.000000000.nc,2020-05-28 19:00:00,2020-05-28 18:00:00,2020,478,1.0,0,0.0
2020-05-29T15:00:00.000000000.nc,2020-05-29 15:00:00,2020-05-29 12:00:00,2020,481,3.0,38,0.0009276890776817538
2020-05-29T17:00:00.000000000.nc,2020-05-29 17:00:00,2020-05-29 18:00:00,2020,482,1.0,0,0.0
2020-05-31T06:00:00.000000000.nc,2020-05-31 06:00:00,2020-05-31 06:00:00,2020,488,0.0,0,0.0
2020-06-03T03:00:00.000000000.nc,2020-06-03 03:00:00,2020-06-03 00:00:00,2020,499,3.0,34,0.0008300375958205166
2020-06-03T13:00:00.000000000.nc,2020-06-03 13:00:00,2020-06-03 12:00:00,2020,501,1.0,37,0.0009032762072164445
2020-06-04T20:00:00.000000000.nc,2020-06-04 20:00:00,2020-06-04 18:00:00,2020,506,2.0,78,0.0019042038962941263
2020-06-10T10:00:00.000000000.nc,2020-06-10 10:00:00,2020-06-10 12:00:00,2020,529,2.0,0,0.0
2020-06-11T09:00:00.000000000.nc,2020-06-11 09:00:00,2020-06-11 06:00:00,2020,532,3.0,0,0.0
2020-06-11T17:00:00.000000000.nc,2020-06-11 17:00:00,2020-06-11 18:00:00,2020,534,1.0,0,0.0
2020-06-11T19:00:00.000000000.nc,2020-06-11 19:00:00,2020-06-11 18:00:00,2020,534,1.0,0,0.0
2020-06-12T22:00:00.000000000.nc,2020-06-12 22:00:00,2020-06-13 00:00:00,2020,539,2.0,0,0.0
2020-06-14T13:00:00.000000000.nc,2020-06-14 13:00:00,2020-06-14 12:00:00,2020,545,1.0,0,0.0
2020-06-16T04:00:00.000000000.nc,2020-06-16 04:00:00,2020-06-16 06:00:00,2020,552,2.0,0,0.0
2020-06-17T02:00:00.000000000.nc,2020-06-17 02:00:00,2020-06-17 00:00:00,2020,555,2.0,0,0.0
2020-06-18T19:00:00.000000000.nc,2020-06-18 19:00:00,2020-06-18 18:00:00,2020,562,1.0,0,0.0
2020-06-18T23:00:00.000000000.nc,2020-06-18 23:00:00,2020-06-19 00:00:00,2020,563,1.0,0,0.0
2020-06-22T00:00:00.000000000.nc,2020-06-22 00:00:00,2020-06-22 00:00:00,2020,575,0.0,0,0.0
2020-06-22T08:00:00.000000000.nc,2020-06-22 08:00:00,2020-06-22 06:00:00,2020,576,2.0,0,0.0
2020-06-29T20:00:00.000000000.nc,2020-06-29 20:00:00,2020-06-29 18:00:00,2020,606,2.0,0,0.0
2020-06-30T11:00:00.000000000.nc,2020-06-30 11:00:00,2020-06-30 12:00:00,2020,609,1.0,0,0.0
2020-06-30T20:00:00.000000000.nc,2020-06-30 20:00:00,2020-06-30 18:00:00,2020,610,2.0,0,0.0
2020-07-02T17:00:00.000000000.nc,2020-07-02 17:00:00,2020-07-02 18:00:00,2020,618,1.0,0,0.0
2020-07-03T20:00:00.000000000.nc,2020-07-03 20:00:00,2020-07-03 18:00:00,2020,622,2.0,0,0.0
2020-07-04T04:00:00.000000000.nc,2020-07-04 04:00:00,2020-07-04 06:00:00,2020,624,2.0,0,0.0
2020-07-05T06:00:00.000000000.nc,2020-07-05 06:00:00,2020-07-05 06:00:00,2020,628,0.0,0,0.0
2020-07-05T10:00:00.000000000.nc,2020-07-05 10:00:00,2020-07-05 12:00:00,2020,629,2.0,0,0.0
2020-07-05T11:00:00.000000000.nc,2020-07-05 11:00:00,2020-07-05 12:00:00,2020,629,1.0,0,0.0
2020-07-06T22:00:00.000000000.nc,2020-07-06 22:00:00,2020-07-07 00:00:00,2020,635,2.0,0,0.0
2020-07-09T21:00:00.000000000.nc,2020-07-09 21:00:00,2020-07-09 18:00:00,2020,646,3.0,14,0.00034178018651433037
2020-07-12T03:00:00.000000000.nc,2020-07-12 03:00:00,2020-07-12 00:00:00,2020,655,3.0,0,0.0
2020-07-12T17:00:00.000000000.nc,2020-07-12 17:00:00,2020-07-12 18:00:00,2020,658,1.0,0,0.0
2020-07-14T21:00:00.000000000.nc,2020-07-14 21:00:00,2020-07-14 18:00:00,2020,666,3.0,0,0.0
2020-07-18T22:00:00.000000000.nc,2020-07-18 22:00:00,2020-07-19 00:00:00,2020,683,2.0,0,0.0
2020-07-19T18:00:00.000000000.nc,2020-07-19 18:00:00,2020-07-19 18:00:00,2020,686,0.0,0,0.0
2020-07-24T02:00:00.000000000.nc,2020-07-24 02:00:00,2020-07-24 00:00:00,2020,703,2.0,35,0.0008544504662858259
2020-07-24T08:00:00.000000000.nc,2020-07-24 08:00:00,2020-07-24 06:00:00,2020,704,2.0,29,0.00070797324349397
2020-07-24T10:00:00.000000000.nc,2020-07-24 10:00:00,2020-07-24 12:00:00,2020,705,2.0,0,0.0
2020-07-28T03:00:00.000000000.nc,2020-07-28 03:00:00,2020-07-28 00:00:00,2020,719,3.0,0,0.0
