source,gamma,lead_hours,forecast_valid_time,global_mean_ivt,file
GraphCast,-1.0,6.0,2021-07-18 06:00:00,190.43000545155147,results/perturbation/AR/Node_Hierarchy_Level_M6/raw_activations/2021-07-18T00/data/gamma_-1.0.nc
GraphCast,-1.0,12.0,2021-07-18 12:00:00,187.5481778852953,results/perturbation/AR/Node_Hierarchy_Level_M6/raw_activations/2021-07-18T00/data/gamma_-1.0.nc
GraphCast,-1.0,18.0,2021-07-18 18:00:00,186.00244889635516,results/perturbation/AR/Node_Hierarchy_Level_M6/raw_activations/2021-07-18T00/data/gamma_-1.0.nc
GraphCast,-1.0,24.0,2021-07-19 00:00:00,184.41969995910364,results/perturbation/AR/Node_Hierarchy_Level_M6/raw_activations/2021-07-18T00/data/gamma_-1.0.nc
GraphCast,-1.0,30.0,2021-07-19 06:00:00,184.7358634859541,results/perturbation/AR/Node_Hierarchy_Level_M6/raw_activations/2021-07-18T00/data/gamma_-1.0.nc
GraphCast,-1.0,36.0,2021-07-19 12:00:00,181.7891158352627,results/perturbation/AR/Node_Hierarchy_Level_M6/raw_activations/2021-07-18T00/data/gamma_-1.0.nc
GraphCast,-1.0,42.0,2021-07-19 18:00:00,179.8872536067444,results/perturbation/AR/Node_Hierarchy_Level_M6/raw_activations/2021-07-18T00/data/gamma_-1.0.nc
GraphCast,-1.0,48.0,2021-07-20 00:00:00,177.93881174177517,results/perturbation/AR/Node_Hierarchy_Level_M6/raw_activations/2021-07-18T00/data/gamma_-1.0.nc
GraphCast,-1.0,54.0,2021-07-20 06:00:00,178.58372208034345,results/perturbation/AR/Node_Hierarchy_Level_M6/raw_activations/2021-07-18T00/data/gamma_-1.0.nc
GraphCast,-1.0,60.0,2021-07-20 12:00:00,176.72434214682286,results/perturbation/AR/Node_Hierarchy_Level_M6/raw_activations/2021-07-18T00/data/gamma_-1.0.nc
GraphCast,-1.0,66.0,2021-07-20 18:00:00,176.40967614866213,results/perturbation/AR/Node_Hierarchy_Level_M6/raw_activations/2021-07-18T00/data/gamma_-1.0.nc
GraphCast,-1.0,72.0,2021-07-21 00:00:00,175.75052908785312,results/perturbation/AR/Node_Hierarchy_Level_M6/raw_activations/2021-07-18T00/data/gamma_-1.0.nc
GraphCast,-1.0,78.0,2021-07-21 06:00:00,177.86156251657656,results/perturbation/AR/Node_Hierarchy_Level_M6/raw_activations/2021-07-18T00/data/gamma_-1.0.nc
GraphCast,-1.0,84.0,2021-07-21 12:00:00,176.63753496319165,results/perturbation/AR/Node_Hierarchy_Level_M6/raw_activations/2021-07-18T00/data/gamma_-1.0.nc
