layer0_pc,best_layer15_pc,signed_cosine,abs_cosine,same_index_signed_cosine,same_index_abs_cosine
PC1,PC2,-0.141669,0.141669,0.077021,0.077021
PC2,PC3,0.172390,0.172390,-0.037492,0.037492
PC3,PC1,-0.122700,0.122700,0.040024,0.040024
PC4,PC1,0.351076,0.351076,0.023919,0.023919
PC5,PC3,0.202645,0.202645,-0.061530,0.061530
PC6,PC6,-0.193639,0.193639,-0.193639,0.193639
PC7,PC4,0.248663,0.248663,-0.063586,0.063586
PC8,PC8,0.182456,0.182456,0.182456,0.182456
PC9,PC5,-0.246550,0.246550,-0.007746,0.007746
PC10,PC6,-0.149812,0.149812,0.076996,0.076996
PC11,PC7,0.221418,0.221418,-0.068424,0.068424
PC12,PC2,0.193845,0.193845,0.010025,0.010025
PC13,PC8,-0.226750,0.226750,-0.044956,0.044956
PC14,PC11,0.174840,0.174840,0.110012,0.110012
PC15,PC14,0.111488,0.111488,-0.027027,0.027027
