feature,label,category,score
geopotential_at_surface,Surface geopotential,Static/context,0.12761824
position_context,Position context,Static/context,0.14627974
land_sea_mask,Land-sea mask,Static/context,0.1375953
local_time_context,Local time context,Static/context,0.097020986
2m_temperature,2m temperature,Surface/single-level,0.15948947
10m_u_component_of_wind,10m U wind,Surface/single-level,0.14918479
10m_v_component_of_wind,10m V wind,Surface/single-level,0.11870541
mean_sea_level_pressure,Mean sea-level pressure,Surface/single-level,0.13687695
total_precipitation_6hr,Total precipitation 6h,Surface/single-level,0.063429336
toa_incident_solar_radiation,TOA solar radiation,Surface/single-level,0.091493341
geopotential_lev08,Geopotential 50 hPa,Geopotential,0.14236972
geopotential_lev10,Geopotential 100 hPa,Geopotential,0.1500903
geopotential_lev12,Geopotential 150 hPa,Geopotential,0.14971708
geopotential_lev14,Geopotential 200 hPa,Geopotential,0.14983817
geopotential_lev16,Geopotential 250 hPa,Geopotential,0.15018288
geopotential_lev17,Geopotential 300 hPa,Geopotential,0.15038621
geopotential_lev19,Geopotential 400 hPa,Geopotential,0.15017668
geopotential_lev21,Geopotential 500 hPa,Geopotential,0.14936431
geopotential_lev23,Geopotential 600 hPa,Geopotential,0.14841619
geopotential_lev25,Geopotential 700 hPa,Geopotential,0.14745988
geopotential_lev30,Geopotential 850 hPa,Geopotential,0.14449184
geopotential_lev33,Geopotential 925 hPa,Geopotential,0.14237418
geopotential_lev36,Geopotential 1000 hPa,Geopotential,0.13865083
temperature_lev08,Temperature 50 hPa,Temperature,0.12302814
temperature_lev10,Temperature 100 hPa,Temperature,0.14300664
temperature_lev12,Temperature 150 hPa,Temperature,0.13499122
temperature_lev14,Temperature 200 hPa,Temperature,0.10064922
temperature_lev16,Temperature 250 hPa,Temperature,0.13557809
temperature_lev17,Temperature 300 hPa,Temperature,0.14634702
temperature_lev19,Temperature 400 hPa,Temperature,0.15178325
temperature_lev21,Temperature 500 hPa,Temperature,0.15388606
temperature_lev23,Temperature 600 hPa,Temperature,0.15323428
temperature_lev25,Temperature 700 hPa,Temperature,0.15091385
temperature_lev30,Temperature 850 hPa,Temperature,0.14829566
temperature_lev33,Temperature 925 hPa,Temperature,0.15402082
temperature_lev36,Temperature 1000 hPa,Temperature,0.15978579
specific_humidity_lev08,Specific humidity 50 hPa,Specific humidity,0.12850578
specific_humidity_lev10,Specific humidity 100 hPa,Specific humidity,0.10209326
specific_humidity_lev12,Specific humidity 150 hPa,Specific humidity,0.12864705
specific_humidity_lev14,Specific humidity 200 hPa,Specific humidity,0.13238419
specific_humidity_lev16,Specific humidity 250 hPa,Specific humidity,0.12892637
specific_humidity_lev17,Specific humidity 300 hPa,Specific humidity,0.12830912
specific_humidity_lev19,Specific humidity 400 hPa,Specific humidity,0.13779786
specific_humidity_lev21,Specific humidity 500 hPa,Specific humidity,0.13824449
specific_humidity_lev23,Specific humidity 600 hPa,Specific humidity,0.13962216
specific_humidity_lev25,Specific humidity 700 hPa,Specific humidity,0.14642972
specific_humidity_lev30,Specific humidity 850 hPa,Specific humidity,0.15828792
specific_humidity_lev33,Specific humidity 925 hPa,Specific humidity,0.16162742
specific_humidity_lev36,Specific humidity 1000 hPa,Specific humidity,0.15979856
u_component_of_wind_lev08,U wind 50 hPa,U wind,0.12747902
u_component_of_wind_lev10,U wind 100 hPa,U wind,0.13339041
u_component_of_wind_lev12,U wind 150 hPa,U wind,0.1326482
u_component_of_wind_lev14,U wind 200 hPa,U wind,0.13588242
u_component_of_wind_lev16,U wind 250 hPa,U wind,0.13718169
u_component_of_wind_lev17,U wind 300 hPa,U wind,0.13685964
u_component_of_wind_lev19,U wind 400 hPa,U wind,0.13627612
u_component_of_wind_lev21,U wind 500 hPa,U wind,0.13606782
u_component_of_wind_lev23,U wind 600 hPa,U wind,0.13632611
u_component_of_wind_lev25,U wind 700 hPa,U wind,0.13990127
u_component_of_wind_lev30,U wind 850 hPa,U wind,0.15099368
u_component_of_wind_lev33,U wind 925 hPa,U wind,0.15258129
u_component_of_wind_lev36,U wind 1000 hPa,U wind,0.15075183
v_component_of_wind_lev08,V wind 50 hPa,V wind,0.043984564
v_component_of_wind_lev10,V wind 100 hPa,V wind,0.055394504
v_component_of_wind_lev12,V wind 150 hPa,V wind,0.063297356
v_component_of_wind_lev14,V wind 200 hPa,V wind,0.063084802
v_component_of_wind_lev16,V wind 250 hPa,V wind,0.059842319
v_component_of_wind_lev17,V wind 300 hPa,V wind,0.059169301
v_component_of_wind_lev19,V wind 400 hPa,V wind,0.062179518
v_component_of_wind_lev21,V wind 500 hPa,V wind,0.067079315
v_component_of_wind_lev23,V wind 600 hPa,V wind,0.07254437
v_component_of_wind_lev25,V wind 700 hPa,V wind,0.080663661
v_component_of_wind_lev30,V wind 850 hPa,V wind,0.098454421
v_component_of_wind_lev33,V wind 925 hPa,V wind,0.11067388
v_component_of_wind_lev36,V wind 1000 hPa,V wind,0.11877498
vertical_velocity_lev08,Vertical velocity 50 hPa,Vertical velocity,0.021090532
vertical_velocity_lev10,Vertical velocity 100 hPa,Vertical velocity,0.022078226
vertical_velocity_lev12,Vertical velocity 150 hPa,Vertical velocity,0.025263113
vertical_velocity_lev14,Vertical velocity 200 hPa,Vertical velocity,0.040095073
vertical_velocity_lev16,Vertical velocity 250 hPa,Vertical velocity,0.051770891
vertical_velocity_lev17,Vertical velocity 300 hPa,Vertical velocity,0.055863357
vertical_velocity_lev19,Vertical velocity 400 hPa,Vertical velocity,0.055214849
vertical_velocity_lev21,Vertical velocity 500 hPa,Vertical velocity,0.053862552
vertical_velocity_lev23,Vertical velocity 600 hPa,Vertical velocity,0.05144498
vertical_velocity_lev25,Vertical velocity 700 hPa,Vertical velocity,0.04843397
vertical_velocity_lev30,Vertical velocity 850 hPa,Vertical velocity,0.051156814
vertical_velocity_lev33,Vertical velocity 925 hPa,Vertical velocity,0.059895279
vertical_velocity_lev36,Vertical velocity 1000 hPa,Vertical velocity,0.059810801
