feature,label,category,score
geopotential_at_surface,Surface geopotential,Static/context,0.61273392
position_context,Position context,Static/context,0.45101472
land_sea_mask,Land-sea mask,Static/context,0.66146645
local_time_context,Local time context,Static/context,0.36962463
year_progress_context,Year progress context,Static/context,0.21631762
2m_temperature,2m temperature,Surface/single-level,0.19672704
10m_u_component_of_wind,10m U wind,Surface/single-level,0.30137567
10m_v_component_of_wind,10m V wind,Surface/single-level,0.37671323
mean_sea_level_pressure,Mean sea-level pressure,Surface/single-level,0.39516716
total_precipitation_6hr,Total precipitation 6h,Surface/single-level,0.18760887
toa_incident_solar_radiation,TOA solar radiation,Surface/single-level,0.34595145
geopotential_lev08,Geopotential 50 hPa,Geopotential,0.063205794
geopotential_lev10,Geopotential 100 hPa,Geopotential,0.050889701
geopotential_lev12,Geopotential 150 hPa,Geopotential,0.061426117
geopotential_lev14,Geopotential 200 hPa,Geopotential,0.072965773
geopotential_lev16,Geopotential 250 hPa,Geopotential,0.081353593
geopotential_lev17,Geopotential 300 hPa,Geopotential,0.088691161
geopotential_lev19,Geopotential 400 hPa,Geopotential,0.09744107
geopotential_lev21,Geopotential 500 hPa,Geopotential,0.10291963
geopotential_lev23,Geopotential 600 hPa,Geopotential,0.10741995
geopotential_lev25,Geopotential 700 hPa,Geopotential,0.12300298
geopotential_lev30,Geopotential 850 hPa,Geopotential,0.21560277
geopotential_lev33,Geopotential 925 hPa,Geopotential,0.29698016
geopotential_lev36,Geopotential 1000 hPa,Geopotential,0.37501424
temperature_lev08,Temperature 50 hPa,Temperature,0.13222625
temperature_lev10,Temperature 100 hPa,Temperature,0.127972
temperature_lev12,Temperature 150 hPa,Temperature,0.15501492
temperature_lev14,Temperature 200 hPa,Temperature,0.28421371
temperature_lev16,Temperature 250 hPa,Temperature,0.13830605
temperature_lev17,Temperature 300 hPa,Temperature,0.11863414
temperature_lev19,Temperature 400 hPa,Temperature,0.12168445
temperature_lev21,Temperature 500 hPa,Temperature,0.13210273
temperature_lev23,Temperature 600 hPa,Temperature,0.15898794
temperature_lev25,Temperature 700 hPa,Temperature,0.18977991
temperature_lev30,Temperature 850 hPa,Temperature,0.22158522
temperature_lev33,Temperature 925 hPa,Temperature,0.25109162
temperature_lev36,Temperature 1000 hPa,Temperature,0.24277792
specific_humidity_lev08,Specific humidity 50 hPa,Specific humidity,0.3626188
specific_humidity_lev10,Specific humidity 100 hPa,Specific humidity,0.14156818
specific_humidity_lev12,Specific humidity 150 hPa,Specific humidity,0.16965568
specific_humidity_lev14,Specific humidity 200 hPa,Specific humidity,0.21752476
specific_humidity_lev16,Specific humidity 250 hPa,Specific humidity,0.210774
specific_humidity_lev17,Specific humidity 300 hPa,Specific humidity,0.20675916
specific_humidity_lev19,Specific humidity 400 hPa,Specific humidity,0.25168175
specific_humidity_lev21,Specific humidity 500 hPa,Specific humidity,0.26908136
specific_humidity_lev23,Specific humidity 600 hPa,Specific humidity,0.23777962
specific_humidity_lev25,Specific humidity 700 hPa,Specific humidity,0.26673602
specific_humidity_lev30,Specific humidity 850 hPa,Specific humidity,0.35128977
specific_humidity_lev33,Specific humidity 925 hPa,Specific humidity,0.25773726
specific_humidity_lev36,Specific humidity 1000 hPa,Specific humidity,0.24072831
u_component_of_wind_lev08,U wind 50 hPa,U wind,0.25958221
u_component_of_wind_lev10,U wind 100 hPa,U wind,0.2248597
u_component_of_wind_lev12,U wind 150 hPa,U wind,0.27796433
u_component_of_wind_lev14,U wind 200 hPa,U wind,0.2783108
u_component_of_wind_lev16,U wind 250 hPa,U wind,0.26038229
u_component_of_wind_lev17,U wind 300 hPa,U wind,0.23377845
u_component_of_wind_lev19,U wind 400 hPa,U wind,0.17884859
u_component_of_wind_lev21,U wind 500 hPa,U wind,0.19592843
u_component_of_wind_lev23,U wind 600 hPa,U wind,0.2178965
u_component_of_wind_lev25,U wind 700 hPa,U wind,0.2452821
u_component_of_wind_lev30,U wind 850 hPa,U wind,0.29577298
u_component_of_wind_lev33,U wind 925 hPa,U wind,0.30614077
u_component_of_wind_lev36,U wind 1000 hPa,U wind,0.30597921
v_component_of_wind_lev08,V wind 50 hPa,V wind,0.1282871
v_component_of_wind_lev10,V wind 100 hPa,V wind,0.098452728
