feature,label,category,score
geopotential_at_surface,Surface geopotential,Static/context,0.48048636
position_context,Position context,Static/context,0.43753121
land_sea_mask,Land-sea mask,Static/context,0.76062499
2m_temperature,2m temperature,Surface/single-level,0.43815634
10m_u_component_of_wind,10m U wind,Surface/single-level,0.34605815
10m_v_component_of_wind,10m V wind,Surface/single-level,0.39561804
mean_sea_level_pressure,Mean sea-level pressure,Surface/single-level,0.31639901
geopotential_lev10,Geopotential 100 hPa,Geopotential,0.39062696
geopotential_lev12,Geopotential 150 hPa,Geopotential,0.43633154
geopotential_lev14,Geopotential 200 hPa,Geopotential,0.45066434
geopotential_lev16,Geopotential 250 hPa,Geopotential,0.45181271
geopotential_lev17,Geopotential 300 hPa,Geopotential,0.44799706
geopotential_lev19,Geopotential 400 hPa,Geopotential,0.43657099
geopotential_lev21,Geopotential 500 hPa,Geopotential,0.42278855
geopotential_lev23,Geopotential 600 hPa,Geopotential,0.40600733
geopotential_lev25,Geopotential 700 hPa,Geopotential,0.35635974
geopotential_lev30,Geopotential 850 hPa,Geopotential,0.33790845
geopotential_lev33,Geopotential 925 hPa,Geopotential,0.32503461
geopotential_lev36,Geopotential 1000 hPa,Geopotential,0.31989298
temperature_lev08,Temperature 50 hPa,Temperature,0.38363319
temperature_lev10,Temperature 100 hPa,Temperature,0.59008264
temperature_lev12,Temperature 150 hPa,Temperature,0.55176156
temperature_lev16,Temperature 250 hPa,Temperature,0.39246896
temperature_lev17,Temperature 300 hPa,Temperature,0.46179928
temperature_lev19,Temperature 400 hPa,Temperature,0.47113769
temperature_lev21,Temperature 500 hPa,Temperature,0.46422578
temperature_lev23,Temperature 600 hPa,Temperature,0.45559102
temperature_lev25,Temperature 700 hPa,Temperature,0.45066743
temperature_lev30,Temperature 850 hPa,Temperature,0.57381021
temperature_lev33,Temperature 925 hPa,Temperature,0.54137219
temperature_lev36,Temperature 1000 hPa,Temperature,0.40613973
specific_humidity_lev12,Specific humidity 150 hPa,Specific humidity,0.52568756
specific_humidity_lev14,Specific humidity 200 hPa,Specific humidity,0.45733172
specific_humidity_lev16,Specific humidity 250 hPa,Specific humidity,0.34681014
specific_humidity_lev17,Specific humidity 300 hPa,Specific humidity,0.33103309
specific_humidity_lev19,Specific humidity 400 hPa,Specific humidity,0.40810424
specific_humidity_lev21,Specific humidity 500 hPa,Specific humidity,0.38617985
specific_humidity_lev23,Specific humidity 600 hPa,Specific humidity,0.43000873
specific_humidity_lev25,Specific humidity 700 hPa,Specific humidity,0.46769893
specific_humidity_lev30,Specific humidity 850 hPa,Specific humidity,0.4040767
specific_humidity_lev33,Specific humidity 925 hPa,Specific humidity,0.48612554
specific_humidity_lev36,Specific humidity 1000 hPa,Specific humidity,0.51886976
u_component_of_wind_lev08,U wind 50 hPa,U wind,0.36408253
u_component_of_wind_lev10,U wind 100 hPa,U wind,0.42498148
u_component_of_wind_lev16,U wind 250 hPa,U wind,0.31870594
u_component_of_wind_lev17,U wind 300 hPa,U wind,0.32910807
u_component_of_wind_lev19,U wind 400 hPa,U wind,0.36358692
u_component_of_wind_lev21,U wind 500 hPa,U wind,0.38315144
u_component_of_wind_lev23,U wind 600 hPa,U wind,0.35603997
u_component_of_wind_lev25,U wind 700 hPa,U wind,0.3520006
u_component_of_wind_lev30,U wind 850 hPa,U wind,0.3516239
u_component_of_wind_lev33,U wind 925 hPa,U wind,0.36055904
u_component_of_wind_lev36,U wind 1000 hPa,U wind,0.34549855
v_component_of_wind_lev21,V wind 500 hPa,V wind,0.30659909
v_component_of_wind_lev23,V wind 600 hPa,V wind,0.30950567
v_component_of_wind_lev30,V wind 850 hPa,V wind,0.35838
v_component_of_wind_lev33,V wind 925 hPa,V wind,0.36499957
v_component_of_wind_lev36,V wind 1000 hPa,V wind,0.39588029
