feature,label,category,score
geopotential_at_surface,Surface geopotential,Static/context,0.46187741
position_context,Position context,Static/context,0.37751969
land_sea_mask,Land-sea mask,Static/context,0.45949369
local_time_context,Local time context,Static/context,0.63284107
year_progress_context,Year progress context,Static/context,0.57601759
2m_temperature,2m temperature,Surface/single-level,0.22402181
10m_u_component_of_wind,10m U wind,Surface/single-level,0.23412827
10m_v_component_of_wind,10m V wind,Surface/single-level,0.24361745
mean_sea_level_pressure,Mean sea-level pressure,Surface/single-level,0.32472803
total_precipitation_6hr,Total precipitation 6h,Surface/single-level,0.19580552
toa_incident_solar_radiation,TOA solar radiation,Surface/single-level,0.60954593
geopotential_lev08,Geopotential 50 hPa,Geopotential,0.2029214
geopotential_lev10,Geopotential 100 hPa,Geopotential,0.1632521
geopotential_lev12,Geopotential 150 hPa,Geopotential,0.14843875
geopotential_lev14,Geopotential 200 hPa,Geopotential,0.14204072
geopotential_lev16,Geopotential 250 hPa,Geopotential,0.14342676
geopotential_lev17,Geopotential 300 hPa,Geopotential,0.13098729
geopotential_lev19,Geopotential 400 hPa,Geopotential,0.1377869
geopotential_lev21,Geopotential 500 hPa,Geopotential,0.14041559
geopotential_lev23,Geopotential 600 hPa,Geopotential,0.15509593
geopotential_lev25,Geopotential 700 hPa,Geopotential,0.17903706
geopotential_lev30,Geopotential 850 hPa,Geopotential,0.23017097
geopotential_lev33,Geopotential 925 hPa,Geopotential,0.27123448
geopotential_lev36,Geopotential 1000 hPa,Geopotential,0.29340093
temperature_lev08,Temperature 50 hPa,Temperature,0.24298173
temperature_lev10,Temperature 100 hPa,Temperature,0.19679673
temperature_lev12,Temperature 150 hPa,Temperature,0.23345308
temperature_lev14,Temperature 200 hPa,Temperature,0.30573499
temperature_lev16,Temperature 250 hPa,Temperature,0.20110636
temperature_lev17,Temperature 300 hPa,Temperature,0.17277317
temperature_lev19,Temperature 400 hPa,Temperature,0.15863019
temperature_lev21,Temperature 500 hPa,Temperature,0.16287611
temperature_lev23,Temperature 600 hPa,Temperature,0.17174766
temperature_lev25,Temperature 700 hPa,Temperature,0.19120106
temperature_lev30,Temperature 850 hPa,Temperature,0.21838988
temperature_lev33,Temperature 925 hPa,Temperature,0.22193015
temperature_lev36,Temperature 1000 hPa,Temperature,0.21244619
specific_humidity_lev08,Specific humidity 50 hPa,Specific humidity,0.4317713
specific_humidity_lev10,Specific humidity 100 hPa,Specific humidity,0.55896581
specific_humidity_lev12,Specific humidity 150 hPa,Specific humidity,0.2509407
specific_humidity_lev14,Specific humidity 200 hPa,Specific humidity,0.33229859
specific_humidity_lev16,Specific humidity 250 hPa,Specific humidity,0.36193411
specific_humidity_lev17,Specific humidity 300 hPa,Specific humidity,0.36429705
specific_humidity_lev19,Specific humidity 400 hPa,Specific humidity,0.34218724
specific_humidity_lev21,Specific humidity 500 hPa,Specific humidity,0.2773378
specific_humidity_lev23,Specific humidity 600 hPa,Specific humidity,0.21651993
specific_humidity_lev25,Specific humidity 700 hPa,Specific humidity,0.2704261
specific_humidity_lev30,Specific humidity 850 hPa,Specific humidity,0.30515375
specific_humidity_lev33,Specific humidity 925 hPa,Specific humidity,0.24998016
specific_humidity_lev36,Specific humidity 1000 hPa,Specific humidity,0.2363919
u_component_of_wind_lev08,U wind 50 hPa,U wind,0.33354835
u_component_of_wind_lev10,U wind 100 hPa,U wind,0.2663399
u_component_of_wind_lev12,U wind 150 hPa,U wind,0.25259993
u_component_of_wind_lev14,U wind 200 hPa,U wind,0.2382481
u_component_of_wind_lev16,U wind 250 hPa,U wind,0.24714979
u_component_of_wind_lev17,U wind 300 hPa,U wind,0.24480959
u_component_of_wind_lev19,U wind 400 hPa,U wind,0.2259093
u_component_of_wind_lev21,U wind 500 hPa,U wind,0.20975175
u_component_of_wind_lev23,U wind 600 hPa,U wind,0.20706175
u_component_of_wind_lev25,U wind 700 hPa,U wind,0.19556341
u_component_of_wind_lev30,U wind 850 hPa,U wind,0.20879837
u_component_of_wind_lev33,U wind 925 hPa,U wind,0.22235838
u_component_of_wind_lev36,U wind 1000 hPa,U wind,0.23341611
v_component_of_wind_lev08,V wind 50 hPa,V wind,0.33943396
