feature,label,category,score
geopotential_at_surface,Surface geopotential,Static/context,0.012903353
position_context,Position context,Static/context,0.009495862
land_sea_mask,Land-sea mask,Static/context,0.012863251
local_time_context,Local time context,Static/context,0.018917736
year_progress_context,Year progress context,Static/context,0.014027012
2m_temperature,2m temperature,Surface/single-level,0.0044421256
10m_u_component_of_wind,10m U wind,Surface/single-level,0.0045370053
10m_v_component_of_wind,10m V wind,Surface/single-level,0.0045101682
mean_sea_level_pressure,Mean sea-level pressure,Surface/single-level,0.0065860338
total_precipitation_6hr,Total precipitation 6h,Surface/single-level,0.0036372536
toa_incident_solar_radiation,TOA solar radiation,Surface/single-level,0.018150713
geopotential_lev08,Geopotential 50 hPa,Geopotential,0.0030184327
geopotential_lev10,Geopotential 100 hPa,Geopotential,0.0019807007
geopotential_lev12,Geopotential 150 hPa,Geopotential,0.0015433408
geopotential_lev14,Geopotential 200 hPa,Geopotential,0.001320431
geopotential_lev16,Geopotential 250 hPa,Geopotential,0.0013537818
geopotential_lev17,Geopotential 300 hPa,Geopotential,0.0013891037
geopotential_lev19,Geopotential 400 hPa,Geopotential,0.0014580627
geopotential_lev21,Geopotential 500 hPa,Geopotential,0.0015825542
geopotential_lev23,Geopotential 600 hPa,Geopotential,0.0017778419
geopotential_lev25,Geopotential 700 hPa,Geopotential,0.0022131236
geopotential_lev30,Geopotential 850 hPa,Geopotential,0.0035917271
geopotential_lev33,Geopotential 925 hPa,Geopotential,0.0048036258
geopotential_lev36,Geopotential 1000 hPa,Geopotential,0.0060127844
temperature_lev08,Temperature 50 hPa,Temperature,0.0051780422
temperature_lev10,Temperature 100 hPa,Temperature,0.0034382837
temperature_lev12,Temperature 150 hPa,Temperature,0.0044528793
temperature_lev14,Temperature 200 hPa,Temperature,0.0067866959
temperature_lev16,Temperature 250 hPa,Temperature,0.0038144536
temperature_lev17,Temperature 300 hPa,Temperature,0.0024370947
temperature_lev19,Temperature 400 hPa,Temperature,0.0022159015
temperature_lev21,Temperature 500 hPa,Temperature,0.0023839929
temperature_lev23,Temperature 600 hPa,Temperature,0.0029086802
temperature_lev25,Temperature 700 hPa,Temperature,0.0036766985
temperature_lev30,Temperature 850 hPa,Temperature,0.0044083133
temperature_lev33,Temperature 925 hPa,Temperature,0.0047722778
temperature_lev36,Temperature 1000 hPa,Temperature,0.0044906571
specific_humidity_lev08,Specific humidity 50 hPa,Specific humidity,0.01093831
specific_humidity_lev10,Specific humidity 100 hPa,Specific humidity,0.013523222
specific_humidity_lev12,Specific humidity 150 hPa,Specific humidity,0.0049054892
specific_humidity_lev14,Specific humidity 200 hPa,Specific humidity,0.0073502884
specific_humidity_lev16,Specific humidity 250 hPa,Specific humidity,0.0081688291
specific_humidity_lev17,Specific humidity 300 hPa,Specific humidity,0.0082646359
specific_humidity_lev19,Specific humidity 400 hPa,Specific humidity,0.0076439451
specific_humidity_lev21,Specific humidity 500 hPa,Specific humidity,0.0056880489
specific_humidity_lev23,Specific humidity 600 hPa,Specific humidity,0.0049538675
specific_humidity_lev25,Specific humidity 700 hPa,Specific humidity,0.0064938471
specific_humidity_lev30,Specific humidity 850 hPa,Specific humidity,0.0079089669
specific_humidity_lev33,Specific humidity 925 hPa,Specific humidity,0.0059290736
specific_humidity_lev36,Specific humidity 1000 hPa,Specific humidity,0.0055008633
u_component_of_wind_lev08,U wind 50 hPa,U wind,0.00761226
u_component_of_wind_lev10,U wind 100 hPa,U wind,0.005642854
u_component_of_wind_lev12,U wind 150 hPa,U wind,0.0055043071
u_component_of_wind_lev14,U wind 200 hPa,U wind,0.0053103014
u_component_of_wind_lev16,U wind 250 hPa,U wind,0.0052405859
u_component_of_wind_lev17,U wind 300 hPa,U wind,0.0050648289
u_component_of_wind_lev19,U wind 400 hPa,U wind,0.0043675136
u_component_of_wind_lev21,U wind 500 hPa,U wind,0.0038713304
u_component_of_wind_lev23,U wind 600 hPa,U wind,0.0036546496
u_component_of_wind_lev25,U wind 700 hPa,U wind,0.003607914
u_component_of_wind_lev30,U wind 850 hPa,U wind,0.003689057
