pc_name,pc_index,total_timesteps,top1_variable,top1_mean_abs_r,top1_wins,top1_count,top2_variable,top2_mean_abs_r,top2_wins,top2_count,top3_variable,top3_mean_abs_r,top3_wins,top3_count
PC_1,1,1453,land_sea_mask,0.7606249879084205,1453,1453,specific_humidity_lev35,0.5619062426495536,0,1453,specific_humidity_lev34,0.5596823735394645,0,1453
PC_2,2,1453,specific_humidity_lev26,0.5385156493513484,1228,1453,specific_humidity_lev27,0.5282567963670716,66,1453,specific_humidity_lev25,0.5272892502899919,151,1453
PC_3,3,1453,temperature_lev11,0.5922041767150553,418,1453,temperature_lev10,0.5900826413961254,282,1453,temperature_lev18,0.5880380457258192,140,1453
PC_4,4,1453,latitude,0.4269710071154159,222,1453,latitude_sin,0.4263542112160451,593,1453,u_component_of_wind_lev00,0.2945985871504403,66,1453
PC_5,5,1453,latitude_sin,0.45663935311154014,979,1453,latitude,0.44809140571625744,182,1453,u_component_of_wind_lev00,0.3316466966495907,48,1453
PC_6,6,1453,v_component_of_wind_lev36,0.2160662403900666,431,1453,10m_v_component_of_wind,0.21227090931205875,149,1453,v_component_of_wind_lev35,0.210264124947934,20,1453
PC_7,7,1453,geopotential_lev31,0.3302067259591937,164,1453,geopotential_lev32,0.32940432394445146,217,1453,geopotential_lev30,0.3283664157635905,74,1453
PC_8,8,1453,specific_humidity_lev24,0.2526045883226953,262,1453,specific_humidity_lev23,0.2521181471815047,375,1453,specific_humidity_lev32,0.24837477623657447,499,1453
PC_9,9,1453,u_component_of_wind_lev36,0.3507266196910053,411,1453,10m_u_component_of_wind,0.3486098305406196,212,1453,u_component_of_wind_lev35,0.34529808324653366,6,1453
PC_10,10,1453,v_component_of_wind_lev36,0.4572066348622933,529,1453,10m_v_component_of_wind,0.45600701280897105,372,1453,v_component_of_wind_lev35,0.45440939957941306,284,1453
PC_11,11,1453,u_component_of_wind_lev24,0.2180223047543581,212,1453,u_component_of_wind_lev25,0.21569887364343454,169,1453,u_component_of_wind_lev23,0.21398153316283422,122,1453
PC_12,12,1453,u_component_of_wind_lev21,0.3841525847162777,382,1453,u_component_of_wind_lev20,0.3838531379443731,350,1453,u_component_of_wind_lev22,0.3786422371125927,196,1453
PC_13,13,1453,u_component_of_wind_lev36,0.2027970098282088,311,1453,10m_u_component_of_wind,0.20104661454169076,92,1453,u_component_of_wind_lev35,0.19611061258524842,23,1453
PC_14,14,1453,temperature_lev11,0.21071095998835698,217,1453,temperature_lev10,0.2070414413615313,57,1453,specific_humidity_lev35,0.20483796180822647,0,1453
PC_15,15,1453,v_component_of_wind_lev36,0.1976646906494356,307,1453,geopotential_at_surface,0.1971383139809,478,1453,v_component_of_wind_lev35,0.19445210601942176,30,1453
PC_16,16,1453,geopotential_at_surface,0.19373330868221691,356,1453,local_time_sin,0.18111399853703325,4,1453,land_sea_mask,0.17478397568281503,467,1453
PC_17,17,1453,temperature_lev35,0.25452262333402614,572,1453,temperature_lev36,0.25259397702428776,91,1453,temperature_lev34,0.24923279475361745,40,1453
PC_18,18,1453,u_component_of_wind_lev25,0.2702837785461075,347,1453,u_component_of_wind_lev24,0.26962846961110853,262,1453,u_component_of_wind_lev26,0.2636293832158845,108,1453
PC_19,19,1453,u_component_of_wind_lev15,0.2571888554838716,442,1453,u_component_of_wind_lev16,0.2549647922997465,406,1453,u_component_of_wind_lev14,0.25374100734181676,195,1453
PC_20,20,1453,u_component_of_wind_lev12,0.18969602718286238,252,1453,u_component_of_wind_lev13,0.18938281736280563,193,1453,geopotential_at_surface,0.1851660699031719,486,1453
PC_21,21,1453,geopotential_at_surface,0.24282859406303883,709,1453,v_component_of_wind_lev21,0.20319820610781988,40,1453,v_component_of_wind_lev20,0.20094921091713744,30,1453
PC_22,22,1453,u_component_of_wind_lev26,0.23159861171852697,425,1453,u_component_of_wind_lev25,0.2315945009978492,387,1453,u_component_of_wind_lev27,0.22817020252582867,144,1453
PC_23,23,1453,v_component_of_wind_lev22,0.3111535170245646,576,1453,v_component_of_wind_lev23,0.30950566997055506,427,1453,v_component_of_wind_lev21,0.30659909126927587,279,1453
PC_24,24,1453,v_component_of_wind_lev30,0.16048741144886405,195,1453,v_component_of_wind_lev29,0.159737906063005,166,1453,v_component_of_wind_lev28,0.14895853039238754,8,1453
PC_25,25,1453,v_component_of_wind_lev25,0.18727280092871115,252,1453,v_component_of_wind_lev24,0.18684255444051803,266,1453,v_component_of_wind_lev23,0.17428800654427726,5,1453
PC_26,26,1453,latitude,0.16816533535061287,243,1453,latitude_sin,0.16703480632371748,285,1453,v_component_of_wind_lev28,0.1512575855815792,88,1453
PC_27,27,1453,temperature_lev15,0.20425322869534912,227,1453,temperature_lev14,0.19153706469789086,253,1453,local_time_sin,0.18770577334455957,1,1453
PC_28,28,1453,v_component_of_wind_lev17,0.2254933896644396,449,1453,v_component_of_wind_lev16,0.22523168384187892,428,1453,v_component_of_wind_lev15,0.2147550389570609,39,1453
