gamma,time_index,lead_hours,forecast_valid_time,mask_time,mask_time_diff_h,mask_file,delta_ivt_inside_mask_mean,delta_ivt_outside_mask_mean
-1.0,0,6.0,2021-02-13 00:00:00,2021-02-13 00:00:00,0.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-13T00:00:00.000000000.nc,-29.10343202690614,-1.6979594071911264
-0.5,0,6.0,2021-02-13 00:00:00,2021-02-13 00:00:00,0.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-13T00:00:00.000000000.nc,-14.744589991610887,-0.8610333794158833
-0.2,0,6.0,2021-02-13 00:00:00,2021-02-13 00:00:00,0.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-13T00:00:00.000000000.nc,-5.963805940567144,-0.34981081070242154
0.0,0,6.0,2021-02-13 00:00:00,2021-02-13 00:00:00,0.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-13T00:00:00.000000000.nc,0.0,0.0
0.2,0,6.0,2021-02-13 00:00:00,2021-02-13 00:00:00,0.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-13T00:00:00.000000000.nc,5.998328327363669,0.3480800657659161
0.5,0,6.0,2021-02-13 00:00:00,2021-02-13 00:00:00,0.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-13T00:00:00.000000000.nc,15.18963272534925,0.8789149649817289
1.0,0,6.0,2021-02-13 00:00:00,2021-02-13 00:00:00,0.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-13T00:00:00.000000000.nc,30.617829401372088,1.7839238704377847
-1.0,9,60.0,2021-02-15 06:00:00,2021-02-15 09:00:00,3.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-15T09:00:00.000000000.nc,-96.80230954903185,-6.605930889334162
-0.5,9,60.0,2021-02-15 06:00:00,2021-02-15 09:00:00,3.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-15T09:00:00.000000000.nc,-50.95235413037596,-3.6893060450512083
-0.2,9,60.0,2021-02-15 06:00:00,2021-02-15 09:00:00,3.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-15T09:00:00.000000000.nc,-20.29129580974671,-1.631594383436724
0.0,9,60.0,2021-02-15 06:00:00,2021-02-15 09:00:00,3.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-15T09:00:00.000000000.nc,0.0,0.0
0.2,9,60.0,2021-02-15 06:00:00,2021-02-15 09:00:00,3.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-15T09:00:00.000000000.nc,20.67085065926082,1.8231761311158798
0.5,9,60.0,2021-02-15 06:00:00,2021-02-15 09:00:00,3.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-15T09:00:00.000000000.nc,49.16965986098347,4.859884438024245
1.0,9,60.0,2021-02-15 06:00:00,2021-02-15 09:00:00,3.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-15T09:00:00.000000000.nc,88.4080487837608,11.265210893286282
-1.0,14,90.0,2021-02-16 12:00:00,2021-02-16 15:00:00,3.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-16T15:00:00.000000000.nc,-100.58738401555556,-4.919238682721977
-0.5,14,90.0,2021-02-16 12:00:00,2021-02-16 15:00:00,3.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-16T15:00:00.000000000.nc,-52.53029078502246,-3.079357059557681
-0.2,14,90.0,2021-02-16 12:00:00,2021-02-16 15:00:00,3.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-16T15:00:00.000000000.nc,-20.92818534574826,-1.4474458637914898
0.0,14,90.0,2021-02-16 12:00:00,2021-02-16 15:00:00,3.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-16T15:00:00.000000000.nc,0.0,0.0
0.2,14,90.0,2021-02-16 12:00:00,2021-02-16 15:00:00,3.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-16T15:00:00.000000000.nc,20.717224258927153,1.659546101835408
0.5,14,90.0,2021-02-16 12:00:00,2021-02-16 15:00:00,3.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-16T15:00:00.000000000.nc,49.295438227480666,4.910932199348699
1.0,14,90.0,2021-02-16 12:00:00,2021-02-16 15:00:00,3.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-16T15:00:00.000000000.nc,90.9198741591404,12.33563741346426
-1.0,16,102.0,2021-02-17 00:00:00,2021-02-17 03:00:00,3.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-17T03:00:00.000000000.nc,-58.87153894964522,-4.875158595410771
-0.5,16,102.0,2021-02-17 00:00:00,2021-02-17 03:00:00,3.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-17T03:00:00.000000000.nc,-31.2897020383729,-3.1618283875279802
-0.2,16,102.0,2021-02-17 00:00:00,2021-02-17 03:00:00,3.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-17T03:00:00.000000000.nc,-12.627079803485495,-1.53790185144549
0.0,16,102.0,2021-02-17 00:00:00,2021-02-17 03:00:00,3.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-17T03:00:00.000000000.nc,0.0,0.0
0.2,16,102.0,2021-02-17 00:00:00,2021-02-17 03:00:00,3.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-17T03:00:00.000000000.nc,12.06455712122651,1.7784631563823412
0.5,16,102.0,2021-02-17 00:00:00,2021-02-17 03:00:00,3.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-17T03:00:00.000000000.nc,29.976421819108506,5.297179653106631
1.0,16,102.0,2021-02-17 00:00:00,2021-02-17 03:00:00,3.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-17T03:00:00.000000000.nc,61.8673112471698,13.571147170821286
-1.0,19,120.0,2021-02-17 18:00:00,2021-02-17 17:00:00,1.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-17T17:00:00.000000000.nc,-67.24038845381324,-6.317554873971055
-0.5,19,120.0,2021-02-17 18:00:00,2021-02-17 17:00:00,1.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-17T17:00:00.000000000.nc,-32.225158265133416,-4.25774551432497
-0.2,19,120.0,2021-02-17 18:00:00,2021-02-17 17:00:00,1.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-17T17:00:00.000000000.nc,-11.913352383587222,-2.1614284619855213
0.0,19,120.0,2021-02-17 18:00:00,2021-02-17 17:00:00,1.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-17T17:00:00.000000000.nc,0.0,0.0
0.2,19,120.0,2021-02-17 18:00:00,2021-02-17 17:00:00,1.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-17T17:00:00.000000000.nc,10.820420134224992,2.5458542239491195
0.5,19,120.0,2021-02-17 18:00:00,2021-02-17 17:00:00,1.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-17T17:00:00.000000000.nc,22.90201961646023,7.621647195008613
1.0,19,120.0,2021-02-17 18:00:00,2021-02-17 17:00:00,1.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-17T17:00:00.000000000.nc,36.87316862253548,19.377529327933825
