gamma,lead_hours,global_mean_delta_ivt
-1.0,6.0,-2.5313427997731996
-1.0,12.0,-3.9443473547858168
-1.0,18.0,-4.982802320777603
-1.0,24.0,-5.6727264216029
-1.0,30.0,-6.2969888173430615
-1.0,36.0,-6.705118947883783
-1.0,42.0,-7.261068073528154
-1.0,48.0,-7.876932119334003
-1.0,54.0,-8.578795945547574
-1.0,60.0,-8.912001362347016
-1.0,66.0,-9.370918132910807
-1.0,72.0,-9.644963041276089
-1.0,78.0,-9.974627824838365
-1.0,84.0,-9.736563817640045
-1.0,90.0,-9.392372392353922
-1.0,96.0,-9.231007538729065
-1.0,102.0,-9.291814114582602
-1.0,108.0,-9.256535309020904
-1.0,114.0,-9.546856690504676
-1.0,120.0,-9.388793647606406
-0.5,6.0,-1.283223708708913
-0.5,12.0,-2.0232309909990946
-0.5,18.0,-2.584484177278982
-0.5,24.0,-2.9804703528506504
-0.5,30.0,-3.3111462435482983
-0.5,36.0,-3.5514801263831433
-0.5,42.0,-3.8888782092908025
-0.5,48.0,-4.244701832905872
-0.5,54.0,-4.667406899086739
-0.5,60.0,-4.89769067296089
-0.5,66.0,-5.191761489709613
-0.5,72.0,-5.366946969094807
-0.5,78.0,-5.581899323315574
-0.5,84.0,-5.505477302590618
-0.5,90.0,-5.391523081015074
-0.5,96.0,-5.382042433328862
-0.5,102.0,-5.462559010628478
-0.5,108.0,-5.4499734595098746
-0.5,114.0,-5.715678952213942
-0.5,120.0,-5.6676372487450575
-0.2,6.0,-0.5205289139898902
-0.2,12.0,-0.8310511520426583
-0.2,18.0,-1.0628131191320733
-0.2,24.0,-1.2347578665238375
-0.2,30.0,-1.3896792719235718
-0.2,36.0,-1.494441338265253
-0.2,42.0,-1.6325934047397161
-0.2,48.0,-1.80884372769084
-0.2,54.0,-2.0155415589903227
-0.2,60.0,-2.108671008773294
-0.2,66.0,-2.2485706412503994
-0.2,72.0,-2.33773544472705
-0.2,78.0,-2.4161522454852906
-0.2,84.0,-2.3977720802295948
-0.2,90.0,-2.358302336796699
-0.2,96.0,-2.3950060359881173
-0.2,102.0,-2.444945554265501
-0.2,108.0,-2.481348450985782
-0.2,114.0,-2.6262819695743396
-0.2,120.0,-2.6530419116149635
0.0,6.0,0.0
0.0,12.0,0.0
0.0,18.0,0.0
0.0,24.0,0.0
0.0,30.0,0.0
0.0,36.0,0.0
0.0,42.0,0.0
0.0,48.0,0.0
0.0,54.0,0.0
0.0,60.0,0.0
0.0,66.0,0.0
0.0,72.0,0.0
0.0,78.0,0.0
0.0,84.0,0.0
0.0,90.0,0.0
0.0,96.0,0.0
0.0,102.0,0.0
0.0,108.0,0.0
0.0,114.0,0.0
0.0,120.0,0.0
0.2,6.0,0.5199006044028746
0.2,12.0,0.8414495222987058
0.2,18.0,1.1022377824778307
0.2,24.0,1.2883186681662329
0.2,30.0,1.4709395282404594
0.2,36.0,1.6167267602460087
0.2,42.0,1.8031685185857285
0.2,48.0,1.9767112456683498
0.2,54.0,2.1838911957508036
0.2,60.0,2.3050586867769707
0.2,66.0,2.445316559138587
0.2,72.0,2.524610049927075
0.2,78.0,2.58641479544749
0.2,84.0,2.5724218220311115
0.2,90.0,2.5506215761001587
0.2,96.0,2.566913696726311
0.2,102.0,2.619818259305317
0.2,108.0,2.650800255397633
0.2,114.0,2.85986791801119
0.2,120.0,2.962991157905313
0.5,6.0,1.3140949996572013
0.5,12.0,2.1190380933017265
0.5,18.0,2.7838063270816624
0.5,24.0,3.273262669742739
0.5,30.0,3.735017256038118
0.5,36.0,4.107862967500888
0.5,42.0,4.577717294751944
0.5,48.0,5.034603244091467
0.5,54.0,5.646822324787965
0.5,60.0,5.992761952320674
0.5,66.0,6.395769169263557
0.5,72.0,6.6569692933848925
0.5,78.0,6.937673415022825
0.5,84.0,6.956394664364644
0.5,90.0,6.986208264850019
0.5,96.0,7.11511157936547
0.5,102.0,7.315827896879198
0.5,108.0,7.445158209572852
0.5,114.0,7.998831394993018
0.5,120.0,8.391960334412495
1.0,6.0,2.6607450203107206
1.0,12.0,4.363416515346688
1.0,18.0,5.753738920900987
1.0,24.0,6.846427155428833
1.0,30.0,7.871307632087747
1.0,36.0,8.754682397141513
1.0,42.0,9.821340141242931
1.0,48.0,10.97350484143152
1.0,54.0,12.34587178179028
1.0,60.0,13.237538046032949
1.0,66.0,14.092113032361405
1.0,72.0,14.670037981761082
1.0,78.0,15.41443948212727
1.0,84.0,15.675852552797801
1.0,90.0,16.009982106292814
1.0,96.0,16.61687696553179
1.0,102.0,17.521550511931697
1.0,108.0,17.99665167173158
1.0,114.0,19.303882171226476
1.0,120.0,20.25951797847904
